,day,edges,num_infected,num_new_infections,num_new_removed,0-49 deaths,0-49 cases,50-59 deaths,50-59 cases,60-69 deaths,60-69 cases,70-79 deaths,70-79 cases,80-89 deaths,80-89 cases,90+ deaths,90+ cases,perc_above_left
0,0,19996,1,1,0,0.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.0
1,1,19996,2,1,0,3.689368322745215e-08,0,0.0,0,0.0,0,0.0,1,0.0,0,0.0,0,1.0
2,2,19996,3,1,0,1.2293800053449366e-07,1,0.0,0,0.0,0,7.083594120723146e-06,0,0.0,0,0.0,0,1.0
3,3,19996,4,1,0,3.1900876668494686e-07,0,0.0,0,0.0,1,2.3604119231760915e-05,0,0.0,0,0.0,0,1.0
4,4,19996,5,1,0,6.432224426979757e-07,1,0.0,0,1.6602161199973789e-06,0,5.4166149100013216e-05,0,0.0,0,0.0,0,1.0
5,5,19996,6,1,0,1.1504378550911317e-06,1,0.0,0,5.532211272843088e-06,0,9.98947107799375e-05,0,0.0,0,0.0,0,1.0
6,6,19996,7,1,0,1.8810031037200142e-06,1,0.0,0,1.269518162128168e-05,0,0.00015963454139623413,0,0.0,0,0.0,0,1.0
7,7,19990,13,7,1,2.882367595685242e-06,3,0.0,0,2.341280518234962e-05,2,0.00023057052566736045,1,0.0,1,0.0,0,1.0
8,8,19987,16,4,1,4.2712035263689745e-06,2,0.0,2,4.073474966383957e-05,0,0.0003160103109224143,0,2.6563549907341742e-05,0,0.0,0,1.0
9,9,19935,68,53,1,6.141488193175337e-06,37,1.9922591600227416e-06,8,6.510434874492223e-05,2,0.0004141897127230962,5,8.851568688801671e-05,1,0.0,0,0.9935064935064936
10,10,19927,74,9,3,9.900142904230502e-06,9,1.4607689554459797e-05,0,0.00010111544012920445,0,0.0005611493442174315,0,0.00022968715924816415,0,0.0,0,0.9935064935064936
11,11,19684,313,243,4,1.6322217841670352e-05,165,4.1788828196217715e-05,28,0.00014943346234770881,20,0.0007662595675650955,23,0.00046312186703593354,7,0.0,0,0.987012987012987
12,12,19640,342,41,12,3.240121193112218e-05,24,0.00011692385801965606,2,0.00024394633663501515,10,0.001211438650499714,3,0.0009876996104840646,2,0.0,0,0.9805194805194806
