,day,edges,num_infected,num_new_infections,num_new_removed,0-49 deaths,0-49 cases,50-59 deaths,50-59 cases,60-69 deaths,60-69 cases,70-79 deaths,70-79 cases,80-89 deaths,80-89 cases,90+ deaths,90+ cases,perc_above_left
0,0,19996,1,1,0,0.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.0
1,1,19996,2,1,0,3.689368322745215e-08,0,0.0,1,0.0,0,0.0,0,0.0,0,0.0,0,1.0
2,2,19996,3,1,0,1.2293800053449366e-07,1,9.961295800113708e-07,0,0.0,0,0.0,0,0.0,0,0.0,0,1.0
3,3,19996,4,1,0,3.1900876668494686e-07,1,3.319326457184416e-06,0,0.0,0,0.0,0,0.0,0,0.0,0,1.0
4,4,19996,5,1,0,6.801161259254279e-07,1,7.617108269371194e-06,0,0.0,0,0.0,0,0.0,0,0.0,0,1.0
5,5,19996,6,1,0,1.2733758556256252e-06,1,1.4047681812184061e-05,0,0.0,0,0.0,0,0.0,0,0.0,0,1.0
6,6,19996,7,1,0,2.163118187177509e-06,0,2.2448588381303934e-05,0,0.0,0,0.0,1,0.0,0,0.0,0,1.0
7,7,19989,14,8,1,3.365758354621272e-06,6,3.242395272536895e-05,1,0.0,1,7.083594120723146e-06,0,0.0,0,0.0,0,1.0
8,8,19986,17,4,1,5.090375663923021e-06,4,4.4438912356298485e-05,0,1.6602161199973789e-06,0,2.3604119231760915e-05,0,0.0,0,0.0,0,1.0
9,9,19983,20,4,1,7.502861455570814e-06,4,5.8245379047461315e-05,0,5.532211272843088e-06,0,5.4166149100013216e-05,0,0.0,0,0.0,0,1.0
10,10,19978,24,6,2,1.0863579907062187e-05,3,7.3930911832547e-05,2,1.269518162128168e-05,1,9.98947107799375e-05,0,0.0,0,0.0,0,1.0
11,11,19975,26,4,2,1.5371854102403158e-05,2,9.315078734910405e-05,0,2.5073021302346997e-05,1,0.00015963454139623413,1,0.0,0,0.0,0,1.0
12,12,19932,68,44,2,2.1130151450524294e-05,26,0.00011600054724680552,8,4.460674481668528e-05,2,0.0002376541197880836,6,0.0,1,0.0,1,0.9927007299270073
13,13,19868,126,62,4,2.9022703140260085e-05,36,0.00015104695671494523,7,7.558775133335559e-05,8,0.0003750324007577909,6,2.6563549907341742e-05,4,5.980515755238171e-05,1,0.9854014598540146
14,14,19858,130,11,7,4.049209983208691e-05,7,0.00020749660201815418,2,0.00013285878295594283,0,0.0006288780227062529,2,0.00019476988651738366,0,0.0002590893126694669,0,0.9854014598540146
15,15,19833,147,26,9,5.653635876606469e-05,14,0.0002938294986352757,7,0.0002220186054688259,1,0.001052248733525831,4,0.0005571863568928893,0,0.0006565965061247662,0,0.9854014598540146
16,16,19727,236,100,11,7.839281475874213e-05,62,0.00042210367078948907,16,0.0003520245392228455,11,0.0017078865762487066,5,0.0011871006175112064,5,0.0013007004411533475,1,0.9708029197080292
17,17,19558,382,162,16,0.00010835597641551428,103,0.0006101629731494364,22,0.0005408883249079455,19,0.0026439634832818573,13,0.002229873621920226,5,0.0022509510012195546,0,0.9562043795620438
18,18,19044,833,475,24,0.0001504094140876303,320,0.0008842954026946521,67,0.0008212916010708657,43,0.00395525948145991,33,0.003834562604515296,10,0.0034936958782853227,2,0.927007299270073
19,19,18793,1015,224,42,0.00021781011767570978,148,0.00132135707848696,24,0.0012777891875333882,21,0.005886258265807994,21,0.006340877559763317,9,0.005131773923124228,1,0.9124087591240876
20,20,18469,1195,242,62,0.0003210917770284299,185,0.001972893431141813,32,0.001980996613773092,10,0.008666519295850049,10,0.010111491012867443,4,0.0072075832656607495,1,0.8905109489051095
21,21,17648,1729,618,80,0.0004749875200619819,449,0.002909878776015818,99,0.0029956156520932788,33,0.012506002258571517,27,0.015427492289309694,10,0.009800413026835125,0,0.8394160583941606
22,22,17273,1896,283,115,0.0007004899726604329,217,0.004244542999558454,40,0.00439233197516116,16,0.017653304881972268,6,0.022640031433583462,4,0.012900888092848345,0,0.8321167883211679
23,23,16471,2289,542,144,0.0010102383845169084,405,0.006033866324909127,63,0.006188650387350111,31,0.024126279951493714,28,0.03182015593055723,13,0.016452017873766933,2,0.7883211678832117
24,24,15502,2738,636,178,0.0014235293505343455,456,0.008361538066637376,108,0.008413954126504778,37,0.03203258883212278,16,0.043194360885786716,15,0.020448514519245817,4,0.708029197080292
25,25,14469,3131,625,216,0.001956028704330717,466,0.011317834687395606,78,0.011084016946905398,37,0.041299926749946494,27,0.05694381353201265,15,0.025008378280019995,2,0.6642335766423357
26,26,13403,3468,618,272,0.0026224876665798696,446,0.01495749796577647,78,0.014212538276442158,34,0.051921277183260006,42,0.07330855655056051,15,0.03023527519151957,3,0.635036496350365
27,27,12349,3699,564,304,0.0034339776590893495,401,0.01932953361858799,67,0.017804574309322595,49,0.0639488155448261,29,0.09253374858467553,12,0.0363570239919448,6,0.6058394160583942
28,28,11219,3884,570,355,0.004395032725398469,436,0.02443571602033818,59,0.021878877375788936,23,0.07738447614661,37,0.11472910242019348,7,0.04374357542691344,8,0.5912408759124088
29,29,10066,3984,536,391,0.005504782595095574,372,0.030232957934739058,72,0.026403311130960845,42,0.09231242842254281,33,0.1397496423132795,14,0.05292618508333535,3,0.5766423357664233
30,30,9006,3979,479,420,0.006753314140113828,320,0.03665117486658611,64,0.031364291074273784,42,0.10874353546800707,35,0.16742401538389878,14,0.06424382088083647,4,0.5693430656934306
31,31,7623,4039,587,461,0.008123162875494135,389,0.0435849858404263,81,0.0367218722356055,48,0.12667322683955903,47,0.1974235475776931,12,0.07803914010567134,10,0.5328467153284672
32,32,6405,3923,452,473,0.009593272120726044,302,0.05093404875211818,65,0.04244594350758946,44,0.14612477349331843,25,0.229368781573443,12,0.09476193092687529,4,0.5182481751824818
33,33,5232,3724,404,488,0.011135772788768913,282,0.05857869739949526,36,0.048498876255761,41,0.1669472312625876,30,0.26285359231051236,13,0.11445959500631277,2,0.5182481751824818
34,34,4076,3450,357,492,0.012721023065643855,220,0.06637633865874423,50,0.05483805187505928,39,0.18898366587475401,28,0.2974602318043953,17,0.13703442516359376,3,0.48905109489051096
35,35,3071,3098,298,478,0.014315747417053834,196,0.07418777043825363,33,0.06140913418537289,27,0.21194956943480345,24,0.33287693415958314,15,0.16213054799523274,3,0.48905109489051096
36,36,2219,2651,214,435,0.015885867146296508,134,0.08184874150081843,21,0.06812765275379949,31,0.23548426967211802,19,0.3688027259676631,9,0.1891536704122517,0,0.4744525547445255
37,37,1496,2163,173,420,0.01739598367314943,95,0.0891919732148246,19,0.0749014127199644,25,0.25915353804487934,26,0.404861082287434,5,0.21723361372645494,3,0.4744525547445255
38,38,866,1659,148,345,0.01881156378791813,82,0.09605307442592953,17,0.08161474135169561,23,0.28254491308052093,14,0.440534877564701,12,0.24559504987063457,0,0.4744525547445255
39,39,446,1108,83,281,0.02010055895381824,42,0.10227829160038675,6,0.08814797499602395,16,0.3051750900552647,12,0.47536630217218745,5,0.2732622059953199,2,0.4744525547445255
40,40,155,556,55,208,0.02123394878865046,15,0.1077267326271716,2,0.0943715119627691,13,0.3265905015355682,19,0.5086839639129502,6,0.299484775063031,0,0.4744525547445255
41,41,23,38,38,98,0.022187379931203625,10,0.11228099471107938,3,0.10015746944548024,6,0.3464021178808346,14,0.539913844981852,4,0.32347496334894793,1,0.4744525547445255
42,42,15,4,4,8,0.02294222743773067,0,0.11585182634853719,0,0.10537524567414681,3,0.36425394139782286,0,0.5684305334994724,1,0.3446674974324098,0,0.4744525547445255
43,43,15,1,1,0,0.023485986977509993,0,0.11837910364635122,0,0.10990263525611432,1,0.3797915227091996,0,0.5936023698058643,0,0.36256263274441797,0,0.4744525547445255
44,44,15,1,1,0,0.023813034212151883,0,0.11983722484452781,0,0.11362984335516484,1,0.39270795354894805,0,0.614830292993473,0,0.3768240267452075,0,0.4744525547445255
45,45,15,1,1,0,0.023924430982846242,0,0.12023313322432767,0,0.11646951007600245,1,0.40271832884906816,0,0.631581977842852,0,0.3872410195203744,0,0.4744525547445255
46,46,15,1,1,0,0.023827504010239208,0,0.11960437822662542,0,0.1183624110990164,0,0.4096039301524826,1,0.6434405199465673,0,0.3937366986046586,0,0.4744525547445255
47,47,14,2,2,1,0.02353500784384092,0,0.1180150028677766,0,0.11927987647617337,1,0.41324221811487166,0,0.6501454303097964,1,0.39636047669755653,0,0.4744525547445255
48,48,14,1,1,0,0.023064057469327374,0,0.11555031077734187,0,0.11922682794520445,0,0.41360630711981067,0,0.6516362655742594,1,0.39527397502936534,0,0.4744525547445255
49,49,14,1,1,0,0.022434961362751773,0,0.11231114582854305,0,0.11823601282934178,0,0.4107720292477105,0,0.6480332707452316,1,0.3907321450885283,0,0.4744525547445255
50,50,14,1,1,0,0.021670062807597902,0,0.1084082104387494,0,0.11636609553422113,1,0.4049034567431166,0,0.6396298450040727,0,0.38306188783022294,0,0.4744525547445255
51,51,14,1,1,0,0.02079266813003949,0,0.10395680828899419,0,0.11369708888052253,0,0.39623944956079526,1,0.6268275668278823,0,0.3726402043486756,0,0.4744525547445255
52,52,14,1,1,0,0.019826112231682225,0,0.09907225955360122,0,0.11032247344920593,0,0.3850835506206121,1,0.6101151745992635,0,0.3598734615282327,0,0.4744525547445255
53,53,14,1,1,0,0.018792987711080098,0,0.09386611875979138,0,0.10634558756285142,1,0.37178124049049177,0,0.5900225100627662,0,0.3451788590626513,0,0.4744525547445255
54,54,14,1,1,0,0.01771454509930906,0,0.0884432331387283,0,0.10187509425400676,0,0.35669776903388695,0,0.5671000599381467,1,0.32896873107983765,0,0.4744525547445255
55,55,13,2,2,1,0.016610258240263753,0,0.08289961279309478,0,0.09701824765147272,0,0.34020379244659277,1,0.5419261209198749,0,0.31163794526521893,1,0.4744525547445255
56,56,13,1,1,0,0.01549753998888927,0,0.07732104021473553,0,0.09187914996038668,0,0.3226646558290194,1,0.5150467747583669,0,0.2936141894996301,0,0.4744525547445255
57,57,13,1,1,0,0.014391588318831848,0,0.07178232147483556,0,0.08655480801701149,0,0.3044268346500281,1,0.48698953791558647,0,0.27525158721886217,0,0.4744525547445255
58,58,13,1,1,0,0.013305340737997778,0,0.06634707044775043,0,0.08113353654849857,0,0.2858134972030458,1,0.45823227111220416,0,0.2568855477728241,0,0.4744525547445255
59,59,13,1,1,0,0.012249514798665687,0,0.061067916754953704,0,0.07569387358904148,1,0.2671168136002018,0,0.42920079365174957,0,0.23878245437540044,0,0.4744525547445255
60,60,13,1,1,0,0.011232713776074658,0,0.05598703437023813,0,0.07030573526353807,0,0.24858636394463007,1,0.400266804964984,0,0.22114962209324562,0,0.4744525547445255
61,61,13,1,1,0,0.010261578731042074,0,0.0511368983237304,0,0.06502759068231256,0,0.23043864389979404,1,0.37174829632462375,0,0.20414173994418652,0,0.4744525547445255
62,62,13,1,1,0,0.009340970753509384,0,0.04654118963131381,0,0.05990838396699877,0,0.21284970906123574,0,0.3439115414466841,1,0.18786898923702305,0,0.4744525547445255
63,63,13,1,1,0,0.008474169904148163,0,0.04221578196878864,0,0.05498672873595555,0,0.1959550038794435,1,0.3170006608049258,0,0.17240518631400784,0,0.4744525547445255
64,64,13,1,1,0,0.007663080023659628,0,0.038169756682295455,0,0.050291902853217746,0,0.17986231315277543,1,0.29119695911761406,0,0.15779515653722748,0,0.4744525547445255
65,65,13,1,1,0,0.006908431032145458,0,0.03440640482255066,0,0.04584482020717279,0,0.16464727855276065,1,0.26664912811490366,0,0.14406103587658556,0,0.4744525547445255
66,66,13,1,1,0,0.006209972518696627,0,0.03092418563567559,0,0.04165908156102897,0,0.1503620081225867,0,0.24345597375770733,1,0.13120746202461783,0,0.4744525547445255
