,day,edges,num_infected,num_new_infections,num_new_removed,0-49 deaths,0-49 cases,50-59 deaths,50-59 cases,60-69 deaths,60-69 cases,70-79 deaths,70-79 cases,80-89 deaths,80-89 cases,90+ deaths,90+ cases,perc_above_left
0,0,29991,1,1,0,0.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.0
1,1,29991,2,1,0,3.689368322745215e-08,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.0
2,2,29991,3,1,0,1.598316837619458e-07,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.0
3,3,29991,4,1,0,4.419467672194405e-07,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.0
4,4,29991,5,1,0,9.622312093829227e-07,0,0.0,1,0.0,0,0.0,0,0.0,0,0.0,0,1.0
5,5,29991,6,1,0,1.7567666145616551e-06,1,9.961295800113708e-07,0,0.0,0,0.0,0,0.0,0,0.0,0,1.0
6,6,29991,7,1,0,2.8716092750492e-06,0,3.319326457184416e-06,0,0.0,1,0.0,0,0.0,0,0.0,0,1.0
7,7,29985,13,7,1,4.284530248958363e-06,5,7.617108269371194e-06,1,1.6602161199973789e-06,1,0.0,0,0.0,0,0.0,0,1.0
8,8,29976,22,10,1,6.142189278591705e-06,9,1.5043811392195431e-05,0,7.192427392840467e-06,1,0.0,0,0.0,0,0.0,0,1.0
9,9,29972,26,5,1,8.767260755503957e-06,3,2.576791483848835e-05,1,1.9887609014122144e-05,0,0.0,1,0.0,0,0.0,0,1.0
10,10,29967,30,6,2,1.2414440636285296e-05,5,4.1037190574751516e-05,1,4.1640198076474386e-05,0,7.083594120723146e-06,0,0.0,0,0.0,0,1.0
11,11,29914,81,53,2,1.7459959595660436e-05,37,6.180592062566696e-05,3,7.352230422747612e-05,5,2.3604119231760915e-05,6,0.0,2,0.0,0,0.9924242424242424
12,12,29895,97,20,4,2.53398973329223e-05,12,9.129946443817055e-05,4,0.00012316812940541737,2,9.66677138243521e-05,2,5.3127099814683484e-05,0,0.0,0,0.9924242424242424
13,13,29835,151,60,6,3.688722368518677e-05,44,0.00013434504406169872,3,0.0001948403768739374,5,0.0002556866144119493,3,0.00017703137377603342,4,0.0,1,0.9924242424242424
14,14,29607,363,221,9,5.4482509161665986e-05,151,0.0001961669187235577,30,0.00030082941153528726,19,0.0005530904568220046,16,0.0005125014183110118,4,5.980515755238171e-05,1,0.9848484848484849
15,15,29281,646,300,17,8.434066087137483e-05,203,0.00030916524493401385,36,0.00047613064202726133,25,0.001122420952173865,24,0.0012095293074772674,10,0.0002590893126694669,2,0.9621212121212122
16,16,28960,907,292,31,0.00013625030464343768,189,0.0005194285656722783,42,0.0007745750575191851,24,0.002176694000644541,16,0.002629454987572474,17,0.0007762068212295296,4,0.9393939393939394
