,day,edges,num_infected,num_new_infections,num_new_removed,0-49 deaths,0-49 cases,50-59 deaths,50-59 cases,60-69 deaths,60-69 cases,70-79 deaths,70-79 cases,80-89 deaths,80-89 cases,90+ deaths,90+ cases,perc_above_left
0,0,39984,1,1,0,0.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.0
1,1,39984,2,1,0,3.689368322745215e-08,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.0
2,2,39984,3,1,0,1.598316837619458e-07,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.0
3,3,39984,4,1,0,4.419467672194405e-07,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.0
4,4,39984,5,1,0,9.622312093829227e-07,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.0
5,5,39984,6,1,0,1.7936602977891073e-06,0,0.0,1,0.0,0,0.0,0,0.0,0,0.0,0,1.0
6,6,39984,7,1,0,2.9576535923562416e-06,1,9.961295800113708e-07,0,0.0,0,0.0,0,0.0,0,0.0,0,1.0
7,7,39980,11,5,1,4.4806010151088165e-06,4,3.319326457184416e-06,0,0.0,1,0.0,0,0.0,0,0.0,0,1.0
8,8,39973,18,8,1,6.466402954604734e-06,6,7.617108269371194e-06,0,1.6602161199973789e-06,1,0.0,1,0.0,0,0.0,0,1.0
9,9,39926,64,47,1,9.126901434987306e-06,36,1.4047681812184061e-05,3,7.192427392840467e-06,2,7.083594120723146e-06,4,0.0,2,0.0,0,0.9927007299270073
10,10,39810,175,114,3,1.3870745429282123e-05,69,2.5436977121338047e-05,17,2.1547825134119524e-05,14,5.19384957146535e-05,12,5.3127099814683484e-05,2,0.0,0,0.9854014598540146
11,11,39570,395,227,7,2.375101349799091e-05,151,5.931613495711551e-05,37,7.041543502928078e-05,19,0.00023358575547573462,17,0.0002301584735907169,1,0.0,2,0.9781021897810219
12,12,39166,744,365,16,4.595751780473166e-05,252,0.00015957945181695649,45,0.00019521254994851124,29,0.0007202298380134148,24,0.0006098421423650199,15,0.00011961031510476342,0,0.9562043795620438
13,13,38869,966,255,33,9.331697764872222e-05,164,0.00039420084862247447,37,0.0004692706783496663,20,0.0017804834595534337,16,0.0016424285144756214,16,0.00039856831023417046,2,0.948905109489051
14,14,38144,1495,582,53,0.00017853389072779556,411,0.0008405296505146704,76,0.0009638993783632157,36,0.003668506122805604,44,0.0039023503750580746,11,0.0010342350171201253,4,0.9197080291970803
15,15,37156,2140,728,83,0.0003245042042242978,475,0.0016170637332043726,91,0.0017792439416748481,71,0.006834365026905189,56,0.008056456289775187,27,0.0023245651207350303,8,0.8832116788321168
16,16,35779,2947,933,126,0.0005563198028078617,655,0.002855941910761579,107,0.0030642166657737246,72,0.011806319933719094,70,0.015204830285594958,23,0.004885718089945769,6,0.8467153284671532
17,17,34135,3711,948,184,0.0009087067068021973,629,0.004715906971963803,109,0.00498517199533706,96,0.019291264328263,69,0.026319409407597145,39,0.009362437709866491,6,0.8102189781021898
18,18,31972,4531,1073,253,0.0014166457826019713,701,0.007356700572475389,124,0.007769078954251136,117,0.030030959709033887,88,0.04284919728430563,36,0.01649849712643403,7,0.7664233576642335
19,19,29556,5170,972,333,0.0021169108849218867,639,0.010938173478548682,113,0.01167672047856856,95,0.04487522971049575,81,0.0661050378407121,34,0.02698490765488705,10,0.7445255474452555
20,20,29556,5171,1,0,0.00303806436932554,1,0.015580487385125302,0,0.01693280766423103,0,0.06453003058298867,0,0.09732410201619952,0,0.041544949466283204,0,0.7445255474452555
21,21,29556,5172,1,0,0.004176503427040332,1,0.02125214116059272,0,0.023570136074443342,0,0.08899839088598185,0,0.136530306990403,0,0.060201262014629095,0,0.7445255474452555
22,22,29556,5173,1,0,0.005508852220355102,1,0.02782995685280752,0,0.03148770536007249,0,0.11785370470532376,0,0.18302422492411646,0,0.08269814021638149,0,0.7445255474452555
23,23,29556,5174,1,0,0.006984819187193462,1,0.03506523307563235,0,0.04039917321734575,0,0.1500392264165684,0,0.23507769592432562,0,0.10822017655345063,0,0.7445255474452555
24,24,29556,5175,1,0,0.008539933369579391,0,0.042644520566708734,1,0.04991456873908194,0,0.18415615832590576,0,0.29040253213514516,0,0.13564331923324932,0,0.7445255474452555
25,25,29556,5176,1,0,0.01010493921927607,1,0.0502353519168994,0,0.059601976458434895,0,0.21867671662194146,0,0.3464993823020059,0,0.1637128143597438,0,0.7445255474452555
26,26,29556,5177,1,0,0.011613534785842244,1,0.05752081403498426,0,0.06903887910829604,0,0.2521202721418275,0,0.4009454259496606,0,0.19119333825427068,0,0.7445255474452555
27,27,29556,5178,1,0,0.013007722208986527,0,0.06422579028522413,1,0.07784904571128305,0,0.28317885090346595,0,0.45159909957698485,0,0.2169780606785048,0,0.7445255474452555
28,28,29556,5179,1,0,0.014240978168678852,0,0.07013187263265681,0,0.08572511222869092,1,0.3107928787723776,0,0.4967235823026904,0,0.24015633915314563,0,0.7445255474452555
29,29,29556,5180,1,0,0.015279601114503506,1,0.0750818047427036,0,0.09244065298965586,0,0.3341848247443545,0,0.5350416496219518,0,0.26004587994074196,0,0.7445255474452555
30,30,29556,5181,1,0,0.016102664005527213,1,0.07897986774978391,0,0.09784848347567149,0,0.35286069832238554,0,0.5657381706106962,0,0.27619742123393626,0,0.7445255474452555
31,31,29556,5182,1,0,0.01670097557648597,1,0.0817859704660442,0,0.10187684696213396,0,0.3665892461455828,0,0.5884263015805637,0,0.28838008131534637,0,0.7445255474452555
32,32,29556,5183,1,0,0.0170754909056985,0,0.08350798875435951,0,0.10451856425700468,1,0.3753674158764184,0,0.6030913287973366,0,0.29655455014227816,0,0.7445255474452555
33,33,29556,5184,1,0,0.017235371825145708,1,0.08419271857859126,0,0.10582138921204962,0,0.37937894191605,0,0.6100233144690979,0,0.30083992489540484,0,0.7445255474452555
34,34,29556,5185,1,0,0.01719609060785233,0,0.08391658881302895,0,0.10587320266465013,1,0.3789511650890721,0,0.6097468611953449,0,0.30147855720810246,0,0.7445255474452555
35,35,29556,5186,1,0,0.01697749409466099,1,0.08277683696610466,0,0.10479372709584348,0,0.37451363424863693,0,0.6029537644355288,0,0.2988019774217197,0,0.7445255474452555
36,36,29556,5187,1,0,0.016602224539380688,1,0.0808835927828895,0,0.1027199113086978,0,0.36656073860779936,0,0.5904422096834692,0,0.2931998698380338,0,0.7445255474452555
37,37,29556,5188,1,0,0.01609425011174133,0,0.07835311022796583,1,0.09979877558453742,0,0.35561960296069967,0,0.5730645182895514,0,0.28509321231317175,0,0.7445255474452555
38,38,29556,5189,1,0,0.015477689718255305,0,0.07530323183235905,1,0.09617871953921645,0,0.34222372416734714,0,0.5516842207489823,0,0.2749120504723961,0,0.7445255474452555
39,39,29556,5190,1,0,0.014775920181431843,1,0.07184840855913174,0,0.0920040498701488,0,0.3268922994422559,0,0.5271423785036871,0,0.2630779224354146,0,0.7445255474452555
40,40,29556,5191,1,0,0.01401092526189267,0,0.06809583282403943,1,0.08741083233369902,0,0.31011485276161754,0,0.5002325159170231,0,0.24999064993157044,0,0.7445255474452555
41,41,29556,5192,1,0,0.013202786375500297,1,0.06414442048531352,0,0.08252404966202323,0,0.2923405638942105,0,0.47168319607342624,0,0.23601903217253967,0,0.7445255474452555
42,42,29556,5193,1,0,0.012369481206992581,1,0.060081170529746444,0,0.0774558385806319,0,0.27397160847842283,0,0.44214711779402444,0,0.22149488937232764,0,0.7445255474452555
43,43,29556,5194,1,0,0.01152669856301765,0,0.055981756543723296,0,0.07230459934164232,1,0.2553597963790491,0,0.41219557665004264,0,0.20670987758201254,0,0.7445255474452555
44,44,29556,5195,1,0,0.010687801443605224,1,0.05190980976015721,0,0.06715645227077201,0,0.23680582447945756,0,0.38231717954349476,0,0.191914514700186,0,0.7445255474452555
45,45,29556,5196,1,0,0.009863940555186496,1,0.047917593217003805,0,0.06208278814931726,0,0.21856051992531386,0,0.3529197994742343,0,0.17731890292224753,0,0.7445255474452555
46,46,29556,5197,1,0,0.009064137523477222,0,0.04404686374691779,1,0.05714260509162668,0,0.20082752634037568,0,0.3243348812115951,0,0.16309469335195345,0,0.7445255474452555
47,47,29556,5198,1,0,0.008295441086016254,1,0.04033090167201299,0,0.05238212772920085,0,0.18376696843496154,0,0.2968233430974436,0,0.14937790525136277,0,0.7445255474452555
48,48,29556,5199,1,0,0.00756317295427663,1,0.03679395226163684,0,0.04783621371904178,0,0.16749971271166833,0,0.27058245373970313,0,0.1362722794053684,0,0.7445255474452555
49,49,29556,5200,1,0,0.006871092638567908,1,0.0334533122666525,0,0.04352970838434319,0,0.1521119191334938,0,0.24575318759155257,0,0.12385290839415634,0,0.7445255474452555
50,50,29556,5201,1,0,0.006221631227106073,1,0.030319587469329477,0,0.0394788396232207,0,0.13765964802749306,0,0.22242767608065364,0,0.11216994386460047,0,0.7445255474452555
51,51,29556,5202,1,0,0.005616084549613189,1,0.027397856604826895,0,0.035692569212837685,0,0.12417334688520537,0,0.20065646899476175,0,0.10125223099488867,0,0.7445255474452555
52,52,29556,5203,1,0,0.005054799345204579,1,0.02468867027996861,0,0.032173852098016285,0,0.11166209277210225,0,0.1804554037271221,0,0.09111076289646916,0,0.7445255474452555
53,53,29556,5204,1,0,0.004537345169764926,1,0.022188969808827074,0,0.02892077829761493,0,0.10011750808554344,0,0.16181194824292935,0,0.08174188288071321,0,0.7445255474452555
54,54,29556,5205,1,0,0.004062670455575026,1,0.019892901646366784,0,0.025927586947463187,0,0.08951730110706246,0,0.14469093838526115,0,0.07313019086363637,0,0.7445255474452555
55,55,29556,5206,1,0,0.0036292418137234377,1,0.017792520351879587,0,0.023185551465825655,0,0.07982840909590537,0,0.12903967287936396,0,0.0652511324113182,0,0.7445255474452555
56,56,29556,5207,1,0,0.003235166326396628,0,0.015878382867556155,1,0.020683740680705647,0,0.07100974156987117,0,0.11479236174458593,0,0.058073265846549905,0,0.7445255474452555
57,57,29556,5208,1,0,0.0028782602467689027,1,0.014141038292006131,0,0.01840966420033484,0,0.06301453592205247,0,0.10187394741397807,0,0.051560215259835195,0,0.7445255474452555
58,58,29556,5209,1,0,0.0025562001805735216,1,0.012569770064179052,0,0.016349812146096283,0,0.055792347580641166,0,0.0902033342376381,0,0.04567232597430711,0,0.7445255474452555
59,59,29556,5210,1,0,0.0022665615119673646,1,0.011153902351528062,0,0.014490100145362853,0,0.0492907034007065,0,0.07969607261386405,0,0.040368044717730804,0,0.7445255474452555
60,60,29556,5211,1,0,0.0020069094656353197,1,0.009882250913281551,0,0.012816230568982834,0,0.04345645064717003,0,0.07026654999378157,0,0.03560505008801365,0,0.7445255474452555
61,61,29556,5212,1,0,0.001774841906752105,1,0.008743490914670454,0,0.011313980644823194,0,0.038236835445462525,0,0.06182974350857048,0,0.03134116040777129,0,0.7445255474452555
62,62,29556,5213,1,0,0.0015680244308341443,0,0.007726395038824676,0,0.009969427455358101,0,0.0335803444943248,1,0.05430258887228744,0,0.027535046209553767,0,0.7445255474452555
63,63,29556,5214,1,0,0.0013841788481050563,0,0.006820042543280502,0,0.008769119049908486,0,0.02944442620411794,1,0.047605018257846084,0,0.02414677375740869,0,0.7445255474452555
64,64,29556,5215,1,0,0.0012211256691302976,1,0.006013984128847164,0,0.007700200049797548,0,0.025791224384097478,0,0.04166071662645405,0,0.02113820450116414,0,0.7445255474452555
65,65,29556,5216,1,0,0.0010768211819101876,1,0.0052983599937350915,0,0.0067504992508355096,0,0.02258306431459448,0,0.036397641984187046,0,0.01847327342202873,0,0.7445255474452555
66,66,29556,5217,1,0,0.0009493581109899122,1,0.004663974887421168,0,0.005908585867887472,0,0.01978390171269506,0,0.0317483506084962,0,0.016118167051816783,0,0.7445255474452555
67,67,29556,5218,1,0,0.0008369926055505943,1,0.004102336832729879,0,0.005163800244138715,0,0.01735489179356981,0,0.02765016370748384,0,0.014041419677147818,0,0.7445255474452555
68,68,29556,5219,1,0,0.0007381351314262401,1,0.0036056669769322382,0,0.004506264077640993,0,0.015256231593369748,0,0.024045207446676816,0,0.01221394397998561,0,0.7445255474452555
69,69,29556,5220,1,0,0.0006513415907015545,1,0.00316688770748876,0,0.003926874508217857,0,0.01344844112461816,0,0.02088035394268902,0,0.010609010191540355,0,0.7445255474452555
70,70,29556,5221,1,0,0.0005753026071476523,1,0.0027795953018542553,0,0.0034172857628607272,0,0.011893596945610518,0,0.0181070867739276,0,0.009202185797868604,0,0.7445255474452555
71,71,29556,5222,1,0,0.0005088325815235757,1,0.0024380223156482005,0,0.0029698814782887035,0,0.010556309704551904,0,0.015681310851495663,0,0.007971245963194972,0,0.7445255474452555
72,72,29556,5223,1,0,0.0004508592782069056,1,0.0021369938429773466,0,0.0025777403041348187,0,0.009404383425650024,0,0.013563123156679093,0,0.006896063147064686,0,0.7445255474452555
73,73,29556,5224,1,0,0.0004004142356030672,1,0.0018718808073928683,0,0.0022345969365226565,0,0.008409170750805366,0,0.01171655789181646,0,0.00595848288892107,0,0.7445255474452555
