,day,edges,num_infected,num_new_infections,num_new_removed,0-49 deaths,0-49 cases,50-59 deaths,50-59 cases,60-69 deaths,60-69 cases,70-79 deaths,70-79 cases,80-89 deaths,80-89 cases,90+ deaths,90+ cases,perc_above_left
0,0,19996,1,1,0,0.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.0
1,1,19996,2,1,0,3.689368322745215e-08,0,0.0,0,0.0,1,0.0,0,0.0,0,0.0,0,1.0
2,2,19996,3,1,0,1.2293800053449366e-07,1,0.0,0,1.6602161199973789e-06,0,0.0,0,0.0,0,0.0,0,1.0
3,3,19996,4,1,0,3.1900876668494686e-07,1,0.0,0,5.532211272843088e-06,0,0.0,0,0.0,0,0.0,0,1.0
4,4,19996,5,1,0,6.801161259254279e-07,1,0.0,0,1.269518162128168e-05,0,0.0,0,0.0,0,0.0,0,1.0
5,5,19996,6,1,0,1.2733758556256252e-06,0,0.0,1,2.341280518234962e-05,0,0.0,0,0.0,0,0.0,0,1.0
6,6,19996,7,1,0,2.126224503950057e-06,0,9.961295800113708e-07,0,3.7414317423844816e-05,0,0.0,1,0.0,0,0.0,0,1.0
7,7,19981,22,16,1,3.242820354086778e-06,8,3.319326457184416e-06,1,5.403992619923605e-05,1,7.083594120723146e-06,3,0.0,2,0.0,1,1.0
8,8,19979,24,3,1,4.882047946920431e-06,1,8.613237849382564e-06,2,7.406486076664371e-05,0,4.4854901593930354e-05,0,5.3127099814683484e-05,0,5.980515755238171e-05,0,1.0
9,9,19975,27,5,2,7.117771964793963e-06,5,1.935926742939122e-05,0,9.707564071016647e-05,0,0.00012497850679529598,0,0.00017703137377603342,0,0.00019928415511708523,0,1.0
10,10,19973,28,3,2,1.0264460667194963e-05,2,3.670434956504396e-05,1,0.00012321819776609628,0,0.00026239315807997715,0,0.00040624721868164483,0,0.00045731235100768096,0,1.0
11,11,19920,80,54,2,1.4451235075870097e-05,34,6.270198065630676e-05,8,0.0001519308943451119,5,0.0004593186737360466,5,0.0007492123602958336,1,0.0008433880901456665,1,0.993103448275862
12,12,19910,87,11,4,2.096293950698807e-05,9,0.00010527509787923455,1,0.00019057092131899133,1,0.0007448921204596786,0,0.001223825853491042,0,0.0014075629110738882,0,0.993103448275862
13,13,19882,109,28,6,3.044088461883724e-05,18,0.0001674150315851116,5,0.00024239413138716398,3,0.001118658889962577,0,0.0018177993136302235,1,0.0021459381247638165,1,0.993103448275862
14,14,19836,147,46,8,4.423615091749422e-05,32,0.00025788901411459575,4,0.0003171116563173473,6,0.0015881964893964748,4,0.0025466438113707452,0,0.0031253147959251146,0,0.993103448275862
15,15,19788,185,48,10,6.385408428999431e-05,32,0.0003819507662738636,6,0.00042759701538504463,2,0.0021711299353703883,8,0.0033925217533006162,0,0.004340296665626231,0,0.993103448275862
16,16,19697,261,90,14,9.08115077641471e-05,57,0.0005464791809385087,12,0.0005816553193979436,12,0.0029122978710417607,7,0.004338503525236174,2,0.005786386942794496,0,0.9793103448275862
17,17,19479,450,208,19,0.00012760119415369957,144,0.0007630175531161825,16,0.0008032560871385167,24,0.0038710188181418463,18,0.00540496818811298,5,0.007419586658312604,1,0.9586206896551724
18,18,19292,595,173,28,0.0001799976628498035,106,0.0010483645126686922,33,0.0011361923182975672,15,0.005202968269792516,10,0.006702351398594151,8,0.009233820238124255,1,0.9379310344827586
19,19,19150,690,134,39,0.0002536411532621585,87,0.0014398402352547395,12,0.001622486600022808,15,0.007029518414218998,11,0.008479747278437795,9,0.011232133663811303,0,0.9379310344827586
20,20,18524,863,224,51,0.00035474885751312154,94,0.001960985452586171,17,0.002311522668886448,45,0.009497470202868891,44,0.011101883283117947,17,0.01339581087403615,7,0.9241379310344827
21,21,17909,1012,215,66,0.0004884997100238178,81,0.002641875892776507,14,0.00329107372839633,54,0.012944960412323573,46,0.015216086349295579,16,0.01612106417829484,4,0.9103448275862069
22,22,17417,1117,188,82,0.0006576303387647273,73,0.0034952569418215153,19,0.004667037989854145,43,0.017761555805618213,42,0.021516833502822484,10,0.01972667302304274,1,0.896551724137931
23,23,16802,1218,202,100,0.0008625288391856781,79,0.0045284522481530394,20,0.006549756900126169,46,0.02442136253493505,29,0.030607792614755266,20,0.02454531296230476,8,0.8689655172413793
24,24,16230,1292,193,115,0.001101536970054694,86,0.00573994807047653,15,0.009052107848917766,33,0.03330225621009248,34,0.043220352844954374,18,0.03121114549223721,7,0.8620689655172413
25,25,15551,1386,230,131,0.0013714326724331958,115,0.007118139858039729,19,0.012237242244623012,43,0.04469746841299361,33,0.05985655038755724,14,0.04022725476616257,6,0.8551724137931035
26,26,14797,1465,234,145,0.0016690146476847924,132,0.008649210134650656,20,0.01614612507422417,31,0.05871767811977402,34,0.08083625524379873,14,0.052134321065747925,3,0.8413793103448276
27,27,13998,1552,260,166,0.0019915459835268628,125,0.010314336276870017,23,0.020755507456867207,52,0.07534139247015739,34,0.10625855815363533,22,0.06719424618864703,4,0.8413793103448276
28,28,13186,1599,239,179,0.0023366975905016025,127,0.012096415078969703,20,0.026042813613633604,41,0.09442132115862883,32,0.13616902737816264,17,0.08549368370225827,2,0.8344827586206897
29,29,12486,1614,225,184,0.0027027099220780374,108,0.013975854691951527,21,0.031940939855515924,42,0.11570060024564624,35,0.1703405145489557,13,0.10671907790441593,6,0.8344827586206897
30,30,11625,1635,248,209,0.003087091032490397,120,0.015934803347650593,28,0.03837840461640867,45,0.1388690986578514,42,0.2083775382279265,10,0.13059044663212757,3,0.8275862068965517
31,31,10911,1587,195,216,0.0034873595202401767,104,0.017961363743058515,19,0.04527228090355123,37,0.16361971752904275,24,0.2496168643654776,9,0.15653554055006477,2,0.8275862068965517
32,32,10086,1557,226,227,0.0038997842413976995,121,0.02003711063627169,26,0.052519920903613536,35,0.18952423326203557,29,0.2931679853742291,14,0.1839386598691361,1,0.8275862068965517
33,33,9354,1485,196,234,0.004320850074275216,116,0.02215236565327489,18,0.06001060269541799,27,0.21618299903727659,22,0.3381259380471309,12,0.2120292713043542,1,0.8275862068965517
34,34,8689,1387,180,234,0.004746513808114463,102,0.02428759433127653,18,0.06761202945919377,28,0.24309875668365605,26,0.3835297778134647,4,0.23997602256411024,2,0.8275862068965517
35,35,7957,1316,213,246,0.005172413160879806,135,0.02642342609115837,22,0.07518823590863824,25,0.2698046301055272,22,0.42832312927522287,6,0.26699873041031114,3,0.8275862068965517
36,36,7226,1208,181,237,0.005595363066901436,98,0.028540246640034874,15,0.08259673311814701,31,0.2958191287954319,21,0.47153507570193165,12,0.2924673927811683,4,0.8275862068965517
37,37,6473,1135,219,230,0.006011141261078869,144,0.030611663567618422,22,0.08971428428610362,18,0.32070691775124416,24,0.5123623097073025,9,0.3159928693184483,2,0.8275862068965517
38,38,5834,1003,162,224,0.006417815549403872,86,0.032619428848844785,24,0.0964140992685263,31,0.3441064573779567,17,0.5501100195192834,3,0.33728706428677563,1,0.8206896551724138
39,39,5289,849,138,214,0.006811658594661811,87,0.034548235724421957,17,0.10261179684543789,12,0.3656832096409593,12,0.5841749311427915,10,0.3561640134870315,0,0.8206896551724138
40,40,4790,697,136,217,0.007189583413742109,90,0.03638287692737973,8,0.10821101946422264,16,0.3851451672730363,16,0.6142564955364636,6,0.3724147838595072,0,0.8206896551724138
41,41,4281,555,139,221,0.007547950480697261,84,0.03810303908869712,23,0.1131461806185453,8,0.4022714206446262,15,0.6400657964603574,8,0.38583061764986987,1,0.8206896551724138
42,42,3794,425,143,191,0.007882962368697434,98,0.03970003388651444,11,0.11734753312715424,11,0.41688899382480715,16,0.6615621914862513,6,0.3962650616305065,1,0.8206896551724138
43,43,3371,283,121,183,0.00819173335372603,80,0.04115374005626474,19,0.12076680367662636,9,0.4289141056834312,9,0.67876472764228,2,0.4036363553609805,2,0.8206896551724138
44,44,2987,148,116,182,0.008471441205407722,84,0.04245854664375076,18,0.12336721482334499,5,0.43829107379327253,5,0.6917022771980363,4,0.40803304993665773,0,0.8206896551724138
45,45,2793,56,56,104,0.008720324829224614,36,0.043609398053272144,6,0.12512698284052595,9,0.44499562377111956,5,0.7004830948788477,0,0.4095401042760157,0,0.8206896551724138
46,46,2710,18,18,39,0.008935455654793058,9,0.04459649887489821,4,0.12604933884160838,2,0.44902556949415856,3,0.7051145724989033,0,0.4083219184038518,0,0.8206896551724138
