,day,edges,num_infected,num_new_infections,num_new_removed,0-49 deaths,0-49 cases,50-59 deaths,50-59 cases,60-69 deaths,60-69 cases,70-79 deaths,70-79 cases,80-89 deaths,80-89 cases,90+ deaths,90+ cases,perc_above_left
0,0,29991,1,1,0,0.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.0
1,1,29991,2,1,0,3.689368322745215e-08,0,0.0,0,0.0,0,0.0,1,0.0,0,0.0,0,1.0
2,2,29991,3,1,0,1.2293800053449366e-07,1,0.0,0,0.0,0,7.083594120723146e-06,0,0.0,0,0.0,0,1.0
3,3,29991,4,1,0,3.1900876668494686e-07,1,0.0,0,0.0,0,2.3604119231760915e-05,0,0.0,0,0.0,0,1.0
4,4,29991,5,1,0,6.801161259254279e-07,1,0.0,0,0.0,0,5.4166149100013216e-05,0,0.0,0,0.0,0,1.0
5,5,29991,6,1,0,1.2733758556256252e-06,1,0.0,0,0.0,0,9.98947107799375e-05,0,0.0,0,0.0,0,1.0
6,6,29991,7,1,0,2.163118187177509e-06,1,0.0,0,0.0,0,0.00015963454139623413,0,0.0,0,0.0,0,1.0
7,7,29987,11,5,1,3.402652037848724e-06,1,0.0,2,0.0,1,0.00023057052566736045,1,0.0,0,0.0,0,1.0
8,8,29979,19,9,1,5.0288452483202545e-06,5,1.9922591600227416e-06,2,1.6602161199973789e-06,1,0.0003160103109224143,1,0.0,0,0.0,0,1.0
9,9,29974,24,6,1,7.207180219583293e-06,5,8.630912074391573e-06,1,7.192427392840467e-06,0,0.00042127330684381935,0,0.0,0,0.0,0,1.0
10,10,29965,32,10,2,1.0133120615700143e-05,9,2.286899903312259e-05,0,1.8227392894124766e-05,1,0.0005493354928455767,0,0.0,0,0.0,0,1.0
11,11,29951,45,15,2,1.4228276163348637e-05,8,4.664890662029493e-05,1,3.776820292362868e-05,3,0.0007024051205063042,3,0.0,0,0.0,0,1.0
12,12,29941,53,11,3,1.9935282614480607e-05,9,8.160577823635855e-05,1,7.133998223902967e-05,0,0.0008988307333651224,1,0.0,0,0.0,0,1.0
13,13,29930,61,12,4,2.778209941100168e-05,6,0.00012810822006272562,1,0.00012074605906289181,2,0.0011466420434681189,2,0.0,1,0.0,0,1.0
14,14,29651,329,273,5,3.8131395818542064e-05,186,0.00018611462369118304,30,0.0001912633531320718,25,0.001468165387335608,21,2.6563549907341742e-05,9,0.0,2,0.9918032786885246
