,day,edges,num_infected,num_new_infections,num_new_removed,0-49 deaths,0-49 cases,50-59 deaths,50-59 cases,60-69 deaths,60-69 cases,70-79 deaths,70-79 cases,80-89 deaths,80-89 cases,90+ deaths,90+ cases,perc_above_left
0,0,9999,1,1,0,0.0,0,0.0,0,0.0,1,0.0,0,0.0,0,0.0,0,1.0
1,1,9999,2,1,0,0.0,1,0.0,0,1.6602161199973789e-06,0,0.0,0,0.0,0,0.0,0,1.0
2,2,9999,3,1,0,3.689368322745215e-08,0,0.0,0,5.532211272843088e-06,0,0.0,1,0.0,0,0.0,0,1.0
3,3,9999,4,1,0,1.2293800053449366e-07,1,0.0,0,1.269518162128168e-05,0,7.083594120723146e-06,0,0.0,0,0.0,0,1.0
4,4,9999,5,1,0,3.1900876668494686e-07,1,0.0,0,2.341280518234962e-05,0,2.3604119231760915e-05,0,0.0,0,0.0,0,1.0
5,5,9999,6,1,0,6.801161259254279e-07,1,0.0,0,3.7414317423844816e-05,0,5.4166149100013216e-05,0,0.0,0,0.0,0,1.0
6,6,9999,7,1,0,1.2733758556256252e-06,0,0.0,1,5.403992619923605e-05,0,9.98947107799375e-05,0,0.0,0,0.0,0,1.0
7,7,9998,8,2,1,2.126224503950057e-06,2,9.961295800113708e-07,0,7.240464464664633e-05,0,0.00015963454139623413,0,0.0,0,0.0,0,1.0
8,8,9997,9,2,1,3.3166077205416824e-06,2,3.319326457184416e-06,0,9.154342943732338e-05,0,0.00023057052566736045,0,0.0,0,0.0,0,1.0
9,9,9995,11,3,1,4.906561848624706e-06,3,7.617108269371194e-06,0,0.00011052301614481458,0,0.00030892671680169114,0,0.0,0,0.0,0,1.0
10,10,9994,12,2,1,7.018161494956895e-06,2,1.4047681812184061e-05,0,0.0001285180891627623,0,0.0003905855934913353,0,0.0,0,0.0,0,1.0
11,11,9993,13,2,1,9.74753400216359e-06,2,2.2448588381303934e-05,0,0.0001448555232951596,0,0.00047156522451380253,0,0.0,0,0.0,0,1.0
12,12,9992,14,2,1,1.3187802765013082e-05,1,3.242395272536895e-05,0,0.00015903293270371513,0,0.0005483442606263535,1,0.0,0,0.0,0,1.0
13,13,9988,17,5,2,1.7352871019588696e-05,5,4.3442782776287117e-05,0,0.00017071824393145735,0,0.0006251342929475045,0,0.0,0,0.0,0,1.0
14,14,9976,28,13,2,2.235102233196278e-05,7,5.4926052590276896e-05,3,0.00017973644787617804,1,0.0007021451438202795,0,0.0,2,0.0,0,0.9947368421052631
15,15,9975,28,2,1,2.8350902841242984e-05,2,6.930219230320992e-05,0,0.00018770888233065434,0,0.0007825645391933226,0,5.3127099814683484e-05,0,0.0,0,0.9947368421052631
16,16,9971,30,5,2,3.541877651444289e-05,5,8.706882574845049e-05,0,0.00019525973956817882,0,0.0008667708000552104,0,0.00017703137377603342,0,0.0,0,0.9947368421052631
17,17,9968,31,4,2,4.372281038053883e-05,1,0.00010976463075924632,2,0.00020362695842897197,0,0.0009534427825427383,1,0.00040624721868164483,0,0.0,0,0.9947368421052631
18,18,9961,35,8,2,5.318577336467948e-05,4,0.00013955505540731784,1,0.00021329489535912782,2,0.0010471588510000034,1,0.0007492123602958336,0,0.0,0,0.9947368421052631
19,19,9959,34,3,2,6.377416104959845e-05,2,0.00017741148453823604,1,0.00022757410648282578,0,0.0011542572922270445,0,0.0011972623035837002,0,0.0,0,0.9947368421052631
20,20,9959,35,1,0,7.527957673331477e-05,0,0.00022466338951915275,1,0.000247190406441846,0,0.00127852005755985,0,0.0017292836267422068,0,0.0,0,0.9947368421052631
21,21,9959,36,1,0,8.739697869863937e-05,0,0.0002819854656778525,0,0.0002737059991670844,0,0.0014228079413466624,1,0.002316956652122581,0,0.0,0,0.9947368421052631
22,22,9959,37,1,0,9.974371269988188e-05,0,0.000348495957537208,1,0.0003069663231018718,0,0.001591858205660695,0,0.0029293998862646824,0,0.0,0,0.9947368421052631
23,23,9959,38,1,0,0.00011187572684381709,1,0.000423457879688855,0,0.0003457650874692159,0,0.0017824140139354992,0,0.003536748764103501,0,0.0,0,0.9947368421052631
24,24,9959,39,1,0,0.0001233861363241594,0,0.0005043868976446387,1,0.0003882050094200175,0,0.0019915533673980955,0,0.004112593094779276,0,0.0,0,0.9947368421052631
25,25,9959,40,1,0,0.0001338861664093747,1,0.0005896241885055386,0,0.00043206574533200394,0,0.0022122365896282826,0,0.004635392797428268,0,0.0,0,0.9947368421052631
26,26,9959,41,1,0,0.0001431073980743872,0,0.0006762982804492529,1,0.00047511061783061615,0,0.0024355187593659584,0,0.0050890714695538885,0,0.0,0,0.9947368421052631
27,27,9959,42,1,0,0.0001508259314588709,1,0.0007628055536341345,0,0.000515309249255897,0,0.00265186602319582,0,0.005463002723734751,0,0.0,0,0.9947368421052631
28,28,9959,43,1,0,0.00015694612203359965,1,0.0008466522123671704,0,0.0005509771775902609,0,0.002852254360733498,0,0.005751586249306772,0,0.0,0,0.9947368421052631
29,29,9959,44,1,0,0.0001614451092153756,1,0.0009258215581918738,0,0.0005808447553116095,0,0.0030289457947912973,0,0.005953577935490658,0,0.0,0,0.9947368421052631
30,30,9959,45,1,0,0.0001643845818592244,0,0.0009981772157768062,0,0.0006040715367657849,0,0.003175941954998868,1,0.006071301929868865,0,0.0,0,0.9947368421052631
31,31,9959,46,1,0,0.00016584918314008662,1,0.001061770604190128,0,0.0006202222905991786,0,0.0032962473772454623,0,0.006109838015711502,0,0.0,0,0.9947368421052631
32,32,9959,47,1,0,0.00016598799025340904,1,0.0011149939961452172,0,0.0006292187635023106,0,0.0033900273007469294,0,0.006076247927202605,0,0.0,0,0.9947368421052631
33,33,9959,48,1,0,0.0001649602650129794,1,0.0011566826784991649,0,0.0006312785686695497,0,0.003461418401509616,0,0.00597888012257658,0,0.0,0,0.9947368421052631
34,34,9959,49,1,0,0.00016295068685323494,0,0.001186159913533102,1,0.000626849748832328,0,0.003512542020021309,0,0.005826774023939701,0,0.0,0,0.9947368421052631
35,35,9959,50,1,0,0.00016011510331377885,1,0.0012042281892979433,0,0.0006165470141699157,0,0.0035444077852819647,0,0.005629171214247889,0,0.0,0,0.9947368421052631
36,36,9959,51,1,0,0.000156630985319723,1,0.0012114657578653435,0,0.0006010935269169784,0,0.0035572325143935642,0,0.005395131748491696,0,0.0,0,0.9947368421052631
37,37,9959,52,1,0,0.000152652385228544,1,0.0012091422621111408,0,0.0005812704298195699,0,0.0035508548996380134,0,0.005133247743268572,0,0.0,0,0.9947368421052631
