,day,edges,num_infected,num_new_infections,num_new_removed,0-49 deaths,0-49 cases,50-59 deaths,50-59 cases,60-69 deaths,60-69 cases,70-79 deaths,70-79 cases,80-89 deaths,80-89 cases,90+ deaths,90+ cases,perc_above_left
0,0,9999,1,1,0,0.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.0
1,1,9999,2,1,0,3.689368322745215e-08,0,0.0,0,0.0,0,0.0,1,0.0,0,0.0,0,1.0
2,2,9999,3,1,0,1.2293800053449366e-07,1,0.0,0,0.0,0,7.083594120723146e-06,0,0.0,0,0.0,0,1.0
3,3,9999,4,1,0,3.1900876668494686e-07,1,0.0,0,0.0,0,2.3604119231760915e-05,0,0.0,0,0.0,0,1.0
4,4,9999,5,1,0,6.801161259254279e-07,0,0.0,0,0.0,0,5.4166149100013216e-05,0,0.0,1,0.0,0,1.0
5,5,9999,6,1,0,1.236482172398173e-06,1,0.0,0,0.0,0,9.98947107799375e-05,0,2.6563549907341742e-05,0,0.0,0,1.0
6,6,9999,7,1,0,2.040180186643015e-06,1,0.0,0,0.0,0,0.00015963454139623413,0,8.851568688801671e-05,0,0.0,0,1.0
7,7,9998,8,2,1,3.1205369543912293e-06,2,0.0,0,0.0,0,0.00023057052566736045,0,0.00020312360934082241,0,0.0,0,1.0
8,8,9997,9,2,1,4.545454489384224e-06,1,0.0,1,0.0,0,0.00030892671680169114,0,0.0003746061801479168,0,0.0,0,1.0
9,9,9996,10,2,1,6.351114398801793e-06,2,9.961295800113708e-07,0,0.0,0,0.0003905855934913353,0,0.0005986311517918501,0,0.0,0,1.0
10,10,9993,13,4,1,8.61191566954272e-06,2,3.319326457184416e-06,0,0.0,1,0.00047156522451380253,1,0.0008646418133711034,0,0.0,0,1.0
11,11,9991,15,3,1,1.1384038747426877e-05,3,7.617108269371194e-06,0,1.6602161199973789e-06,0,0.0005554278547470767,0,0.0011584783260612905,0,0.0,0,1.0
12,12,9990,16,2,1,1.4759896291245103e-05,2,1.4047681812184061e-05,0,5.532211272843088e-06,0,0.0006416548180585423,0,0.0014646999431323412,0,0.0,0,1.0
13,13,9987,18,4,2,1.8792598868183812e-05,3,2.2448588381303934e-05,1,1.269518162128168e-05,0,0.0007327071736885317,0,0.0017683743820517506,0,0.0,0,1.0
14,14,9979,25,9,2,2.3562781924076637e-05,5,3.342008230538032e-05,0,2.341280518234962e-05,0,0.000828293100873247,2,0.002056296547389638,2,0.0,0,1.0
15,15,9976,27,4,1,2.9194825234913812e-05,1,4.6762109233471535e-05,2,3.7414317423844816e-05,0,0.0009406778189129534,1,0.0023708234985288174,0,0.0,0,1.0
16,16,9897,104,80,3,3.567798785668381e-05,52,6.453542001967082e-05,11,5.403992619923605e-05,6,0.0010786705993981096,9,0.0027215671085529776,2,0.0,0,0.988950276243094
17,17,9836,161,62,3,4.485747601079698e-05,41,9.795756366985379e-05,8,8.23659413666306e-05,9,0.0013141202125319066,2,0.003190875680363704,2,0.0,0,0.9779005524861878
18,18,9835,154,2,1,5.868468189718613e-05,1,0.00015927527896606312,1,0.00013967864215435832,0,0.0016857882875513876,0,0.0038551639585399362,0,0.0,0,0.9779005524861878
19,19,9809,170,27,7,7.865844944802554e-05,19,0.0002587715545014397,5,0.00023648400732809245,2,0.0022355967941865896,1,0.004757329863786708,0,0.0,0,0.9723756906077348
20,20,9783,182,26,9,0.00010645397835731804,17,0.0004075210507958734,3,0.00038657198708838986,3,0.002980769999650405,2,0.005920394170654118,1,0.0,0,0.9723756906077348
21,21,9757,192,27,9,0.00014255931916095483,22,0.000608722950928102,3,0.0005961017453850534,0,0.00391764735843416,2,0.007344913873765208,0,0.0,0,0.9723756906077348
22,22,9719,212,39,10,0.00018715703561883007,29,0.0008623730061829751,2,0.0008619883437748273,2,0.0050291384467899365,3,0.008982585467079909,2,0.0,1,0.9668508287292817
23,23,9671,238,48,10,0.0002402392612356979,34,0.0011633429340995307,5,0.0011797370350729987,4,0.006299630916208358,2,0.010828679813412085,1,5.980515755238171e-05,2,0.9558011049723757
24,24,9598,285,73,14,0.0003018188786663386,47,0.001506386825936837,11,0.0015434111637403496,6,0.007705420595622056,6,0.012850537748967683,2,0.00031889447022184867,1,0.9447513812154696
25,25,9492,362,107,14,0.00037240385272568845,67,0.001890900390175791,15,0.0019508809377393815,7,0.00925220669823023,13,0.01506264821209659,3,0.0009156858187942332,2,0.9337016574585635
26,26,9433,387,60,18,0.000453398725358047,36,0.0023233095605309714,8,0.002404893393793108,10,0.01100150876555101,4,0.01750967900918833,2,0.002076907262382877,0,0.9281767955801105
27,27,9380,400,54,20,0.0005454953946167591,35,0.0028089450839094724,6,0.0029170070972727477,6,0.012985011376082376,6,0.02023288067652987,1,0.003890414595054691,0,0.9226519337016574
28,28,9288,447,93,17,0.0006493249756948297,61,0.0033528561250364113,10,0.0034958193506424407,8,0.0152644277486682,7,0.023256564835771085,6,0.006400182268850773,1,0.9171270718232044
29,29,9231,453,58,20,0.0007655257150563484,35,0.003958821376955344,6,0.004153821789220743,6,0.017876495166133207,8,0.026709272839253114,3,0.009595844318023737,0,0.9116022099447514
30,30,9144,483,87,25,0.0008933438164293643,58,0.004622656437930909,11,0.004895597599493192,7,0.02084938897279639,7,0.030646224074072425,4,0.013355472626900414,0,0.9005524861878453
31,31,9035,530,110,28,0.001032603921096078,77,0.005342515447424577,12,0.005723386794813619,8,0.02419182051173777,7,0.035184167212562366,4,0.017535383256658467,2,0.8895027624309392
32,32,8874,617,156,31,0.0011832700682370683,94,0.006114764543603172,23,0.0066355229725888806,21,0.02789912485461092,10,0.04040398465317812,5,0.022069195675394837,3,0.8839779005524862
33,33,8785,630,90,32,0.0013462290064895292,54,0.006947895385999057,10,0.00764897085989752,8,0.03197006359940286,9,0.046392004722087085,7,0.026979456452130814,2,0.8784530386740331
34,34,8625,706,161,39,0.0015214473002141595,103,0.007841607418296146,20,0.008764426614143311,16,0.036388951167153356,13,0.05326465781386347,7,0.032335805767671186,2,0.861878453038674
35,35,8503,735,122,30,0.0017105654127403877,88,0.008808040886313437,10,0.010000895001075186,11,0.041168848543314616,8,0.0611389445482029,4,0.03826947054728836,1,0.850828729281768
36,36,8328,807,174,35,0.0019141066989952803,112,0.009845086451090147,26,0.011361336087218097,14,0.04628819689944208,18,0.07005796415141743,2,0.044835147508100845,2,0.8287292817679558
37,37,7998,1025,329,41,0.00213366966049167,230,0.010964651223261217,31,0.012851411826004097,25,0.05179446230473031,26,0.07996053721362904,13,0.0520964833713742,4,0.8066298342541437
