,day,edges,num_infected,num_new_infections,num_new_removed,0-49 deaths,0-49 cases,50-59 deaths,50-59 cases,60-69 deaths,60-69 cases,70-79 deaths,70-79 cases,80-89 deaths,80-89 cases,90+ deaths,90+ cases,perc_above_left
0,0,19996,1,1,0,0.0,0,0.0,1,0.0,0,0.0,0,0.0,0,0.0,0,1.0
1,1,19996,2,1,0,0.0,0,9.961295800113708e-07,0,0.0,1,0.0,0,0.0,0,0.0,0,1.0
2,2,19996,3,1,0,0.0,0,3.319326457184416e-06,0,1.6602161199973789e-06,0,0.0,1,0.0,0,0.0,0,1.0
3,3,19996,4,1,0,0.0,1,7.617108269371194e-06,0,5.532211272843088e-06,0,7.083594120723146e-06,0,0.0,0,0.0,0,1.0
4,4,19996,5,1,0,3.689368322745215e-08,0,1.4047681812184061e-05,0,1.269518162128168e-05,0,2.3604119231760915e-05,1,0.0,0,0.0,0,1.0
5,5,19996,6,1,0,1.2293800053449366e-07,0,2.2448588381303934e-05,0,2.341280518234962e-05,0,6.124974322073636e-05,1,0.0,0,0.0,0,1.0
6,6,19996,7,1,0,2.821150834574947e-07,0,3.242395272536895e-05,0,3.7414317423844816e-05,1,0.00013058242413242156,0,0.0,0,0.0,0,1.0
7,7,19994,9,3,1,5.20284442163482e-07,2,4.3442782776287117e-05,0,5.570014231923343e-05,1,0.00023740480972800828,0,0.0,0,0.0,0,1.0
8,8,19992,11,3,1,9.05216454861089e-07,3,5.4926052590276896e-05,0,7.95970720394868e-05,0,0.00038463138554731117,0,0.0,0,0.0,0,1.0
9,9,19982,21,11,1,1.5574440285459303e-06,10,6.631380356317581e-05,0,0.00010977082233144815,0,0.0005684559689778627,1,0.0,0,0.0,0,1.0
10,10,19979,24,4,1,2.9109727408526085e-06,1,7.711084637689725e-05,1,0.0001466310029484459,1,0.000787874254675653,1,0.0,0,0.0,0,1.0
11,11,19976,26,4,2,5.187485796008398e-06,3,8.790943553114411e-05,0,0.0001910054278889541,1,0.0010417501803353382,0,0.0,0,0.0,0,1.0
12,12,19919,82,58,2,8.734547859124786e-06,35,9.873907726792733e-05,10,0.00024350219431108094,6,0.001325626839251154,5,0.0,0,0.0,2,0.9935064935064936
13,13,19909,89,11,4,1.4897070532736835e-05,8,0.00012000934096942893,1,0.0003136661931637065,2,0.0016696803473154854,0,0.0,0,0.00011961031510476342,0,0.9935064935064936
14,14,19847,146,63,6,2.431855537677873e-05,38,0.0001560789347311473,11,0.0004072880046961116,6,0.002076000358063651,4,0.0,3,0.00039856831023417046,1,0.987012987012987
15,15,19765,218,81,9,3.909027961987196e-05,58,0.0002245256123303814,5,0.0005398268250578709,5,0.0025841635385929975,6,7.969064972202522e-05,4,0.0009744298595677437,3,0.9805194805194806
16,16,19692,276,71,13,6.187221019243257e-05,45,0.00033584762451069594,7,0.0007239055577150211,13,0.003239356650710695,4,0.00037180126029341714,2,0.0020654758080655635,0,0.974025974025974
17,17,19487,456,198,18,9.540217456212542e-05,129,0.0005038931342163144,23,0.0009862721821587797,22,0.0040850563613760394,18,0.0010165606753892175,5,0.0037506803234019495,1,0.9545454545454546
18,18,19311,597,169,28,0.00014566969998895346,114,0.0007542997186320351,17,0.0013702327393210494,16,0.005266279565742331,14,0.002246162101119782,7,0.006168438240014553,1,0.935064935064935
19,19,19052,796,238,39,0.00021851252755086941,154,0.0011090405383069567,33,0.0019190668301264239,22,0.006918485752169693,18,0.004329088678440339,9,0.009353405911358076,2,0.9090909090909091
20,20,18693,1062,320,54,0.0003222780218496355,206,0.0016108002902642388,54,0.0026904167622102456,27,0.009245421336389477,19,0.00761196221166285,11,0.013361382892167739,3,0.8766233766233766
21,21,18105,1500,512,74,0.00046697113828792907,369,0.0023235707646956233,55,0.0037432224685659313,40,0.012449308798922368,36,0.012515000932350235,10,0.018289477096880526,2,0.8376623376623377
22,22,17689,1739,341,100,0.0006687549954933869,237,0.003322891992288403,38,0.005154325260573221,28,0.01683897968540665,29,0.01944011631928806,7,0.024204538805637603,2,0.8246753246753247
23,23,16984,2161,555,130,0.0009405015310447775,359,0.004675794618065895,67,0.006980426282821093,52,0.022676496671558743,53,0.028671423742517525,20,0.031181613760547924,4,0.7727272727272727
24,24,16141,2614,623,167,0.0012998902760362053,434,0.006465773077910613,68,0.009311220979860035,59,0.030401952949293192,41,0.04070713662806969,19,0.03936397171253025,2,0.7402597402597403
25,25,15246,2999,599,201,0.001763790659190346,403,0.008758841110552779,74,0.012234111492156934,66,0.04035303464277801,39,0.05595753939081023,16,0.048766645045274296,1,0.6883116883116883
26,26,14252,3392,655,249,0.002346753519343885,428,0.011620164199398052,85,0.015852604919871924,61,0.052847652068855666,57,0.07482696410294569,19,0.05933727561242054,5,0.6428571428571429
27,27,13143,3759,681,300,0.003061530800662103,445,0.015110229093932382,105,0.020256733724571523,55,0.06820400472811458,49,0.09770297112344958,22,0.07114589188788867,5,0.5974025974025974
28,28,12076,3993,604,337,0.0039165515655997,415,0.019294215799246322,64,0.025507920030435238,51,0.08658590910063567,49,0.12489567324034823,20,0.08423596442963714,5,0.564935064935065
29,29,10786,4256,688,393,0.0049141807068599185,450,0.024186444121960436,94,0.031622408114072166,55,0.10808759759155623,58,0.15655672215428912,22,0.09875033835918602,9,0.5194805194805194
30,30,9540,4373,598,439,0.00605255532606119,396,0.0298073450012468,82,0.0385762571430939,48,0.1327343017491044,40,0.19276693306800072,25,0.11509347134153197,7,0.5
31,31,8337,4355,515,473,0.007322367557907858,334,0.03612669890716956,71,0.04629299129854246,44,0.16032321162114643,33,0.2335260720873255,28,0.1336078008035673,5,0.487012987012987
32,32,7048,4294,520,506,0.008707372682273975,347,0.04308455326576233,58,0.05465770259609214,44,0.19049419861867908,50,0.2788123258706819,19,0.15457689801904828,2,0.461038961038961
33,33,5793,4118,446,515,0.010186303693103574,271,0.05057853675273866,65,0.06352547292472818,56,0.22283329446254957,40,0.32831296419399897,10,0.1779514907029198,4,0.43506493506493504
34,34,4640,3850,388,518,0.011730830099580892,253,0.05848347617842871,48,0.07275303797990362,43,0.256772511988073,29,0.3813460551474988,12,0.20352676909097586,3,0.42857142857142855
35,35,3597,3451,283,537,0.013309566695054812,191,0.06663753562181322,34,0.08217813151914688,27,0.29167268628854975,19,0.4369551253108469,8,0.23079120432239666,4,0.42857142857142855
36,36,2406,3068,314,466,0.01488717493930416,228,0.07485790490985861,36,0.09162458981394708,21,0.32678293541840525,16,0.4937916645234865,9,0.25919768853797776,4,0.4090909090909091
37,37,1615,2535,170,440,0.016429872877455818,115,0.08295550718015934,17,0.1009014237201631,24,0.36128337286761825,10,0.5504228444982616,3,0.28815132363255097,1,0.4090909090909091
38,38,923,1989,151,395,0.017901841472041262,100,0.09072538430066404,14,0.10981523551841853,16,0.3942970376037592,17,0.6052400299430004,2,0.3169249173446218,2,0.4025974025974026
39,39,444,1381,74,319,0.019270451712269557,53,0.09797334947288958,10,0.11816831532998663,2,0.4250372715053492,5,0.6566924651550249,4,0.34485984939960085,0,0.4025974025974026
40,40,150,760,34,226,0.02050440478418353,19,0.10451732499744422,2,0.12576222087737707,3,0.45273625056731565,6,0.7033869407562763,4,0.3711630170149466,0,0.4025974025974026
41,41,2,141,8,126,0.021575798601064372,6,0.11019548572615043,0,0.13241881800359923,1,0.47678179782842545,1,0.7441662987189579,0,0.3950967999966542,0,0.4025974025974026
42,42,0,0,0,2,0.02246130407188857,0,0.11487711074185485,0,0.1379789034987655,0,0.4966554019389578,0,0.7780964481083813,0,0.4159657329620372,0,0.4025974025974026
43,43,0,0,0,0,0.02314327168682897,0,0.11846702353091386,0,0.14231891021109155,0,0.5119857589740239,0,0.8045453764605728,0,0.43319046860825516,0,0.4025974025974026
