,day,edges,num_infected,num_new_infections,num_new_removed,0-49 deaths,0-49 cases,50-59 deaths,50-59 cases,60-69 deaths,60-69 cases,70-79 deaths,70-79 cases,80-89 deaths,80-89 cases,90+ deaths,90+ cases,perc_above_left
0,0,29991,1,1,0,0.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.0
1,1,29991,2,1,0,3.689368322745215e-08,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.0
2,2,29991,3,1,0,1.598316837619458e-07,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.0
3,3,29991,4,1,0,4.419467672194405e-07,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.0
4,4,29991,5,1,0,9.622312093829227e-07,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.0
5,5,29991,6,1,0,1.7936602977891073e-06,0,0.0,1,0.0,0,0.0,0,0.0,0,0.0,0,1.0
6,6,29991,7,1,0,2.9576535923562416e-06,0,9.961295800113708e-07,0,0.0,0,0.0,0,0.0,1,0.0,0,1.0
7,7,29987,11,5,1,4.443707331881364e-06,4,3.319326457184416e-06,0,0.0,1,0.0,0,2.6563549907341742e-05,0,0.0,0,1.0
8,8,29940,58,48,1,6.34346495407024e-06,36,7.617108269371194e-06,5,1.6602161199973789e-06,1,0.0,4,8.851568688801671e-05,2,0.0,0,0.9927007299270073
9,9,29933,64,8,2,9.951596848353374e-06,4,1.9028329712240916e-05,1,7.192427392840467e-06,0,2.8334376482892584e-05,2,0.0002562507091555059,1,0.0,0,0.9927007299270073
10,10,29921,74,13,3,1.5858003139874983e-05,9,4.0041350247237387e-05,2,1.8227392894124766e-05,1,0.00010858366516848995,0,0.000578201103831292,1,0.0,0,0.9927007299270073
11,11,29903,88,19,5,2.5235399902558643e-05,16,7.582107968943209e-05,2,3.776820292362868e-05,0,0.0002638728348635747,1,0.0011199576072688535,0,0.0,0,0.9927007299270073
12,12,29876,110,28,6,3.898055415342605e-05,20,0.00012992921218097018,3,6.635933387903753e-05,4,0.0005149947354404996,1,0.001905493469895776,0,0.0,0,0.9927007299270073
13,13,29615,353,251,8,5.7918886823241486e-05,163,0.00020607793450212598,34,0.00011079028972435205,32,0.0008690153004972957,13,0.0029334704191337304,9,0.0,0,0.9781021897810219
14,14,29383,549,212,16,8.805935865609798e-05,150,0.00033803812082637487,23,0.00022511313695952048,16,0.0014114081773630852,13,0.00440629285098039,10,0.0,0,0.9635036496350365
15,15,29150,731,210,28,0.0001365624729841499,144,0.0005583606580633231,17,0.00045573733664387814,17,0.002249849052003729,15,0.0066108806804028525,12,0.0,5,0.9562043795620438
