,day,edges,num_infected,num_new_infections,num_new_removed,0-49 deaths,0-49 cases,50-59 deaths,50-59 cases,60-69 deaths,60-69 cases,70-79 deaths,70-79 cases,80-89 deaths,80-89 cases,90+ deaths,90+ cases
0,0,399984,10,10,0,0.0,8,0.0,0,0.0,0,0.0,0,0.0,2,0.0,0
1,1,399984,20,10,0,2.951494658196172e-07,6,0.0,1,0.0,1,0.0,1,5.3127099814683484e-05,1,0.0,0
2,2,399980,33,14,1,1.2048661036406621e-06,11,9.961295800113708e-07,1,1.6602161199973789e-06,2,7.083594120723146e-06,0,0.00020359492368337515,0,0.0,0
3,3,399976,46,14,1,3.400379186368893e-06,8,4.315456037195787e-06,3,8.852643512837846e-06,1,2.3604119231760915e-05,1,0.0004947629055696615,1,0.0,0
4,4,399940,90,46,2,7.502433509751871e-06,35,1.3924823466589722e-05,6,2.5419820286965233e-05,2,6.124974322073636e-05,2,0.0009788995195439978,1,0.0,0
5,5,399918,118,32,4,1.5151188195499585e-05,23,3.759954693317673e-05,3,5.765581193775082e-05,3,0.0001376660182531447,3,0.0016869477205269754,0,0.0,0
6,6,399854,185,74,7,2.772710461719074e-05,52,8.225194248474218e-05,8,0.00011298018031550404,7,0.00028225971132193867,6,0.0026195540747628965,1,0.0,0
7,7,399322,714,540,11,4.8005324758153514e-05,359,0.00016064525217109645,64,0.0002058898761303496,44,0.000552111457066946,49,0.0037858918048897655,20,0.0,4
8,8,398642,1357,671,28,9.012573438693335e-05,443,0.00034065682110498885,83,0.00041458495788729386,57,0.0013195699543638395,54,0.005680902229300591,24,0.00023922063020952685,10
9,9,397189,2702,1404,59,0.00017537551303308403,941,0.0007285277838227625,160,0.0008623755815185088,132,0.0031042221537663905,111,0.009075684217276154,50,0.0013951881959921582,10
10,10,395043,4589,2007,120,0.0003514997749486476,1342,0.0015482188984637943,259,0.0018432995223406656,187,0.007034947573334548,145,0.015793719963907275,64,0.0044201425307253935,10
11,11,392212,6917,2548,220,0.0006903034456251107,1742,0.0031660814863052056,309,0.003804437923638866,209,0.014673293374948526,196,0.02840644053141217,74,0.010537568997354144,18
12,12,387688,10459,3908,366,0.0012929949369454403,2586,0.006071156011239429,493,0.007329027507128129,333,0.028220821611633126,312,0.0502545424872277,146,0.021467369812733225,38
13,13,380807,15391,5513,581,0.002303422489851232,3669,0.010999458537256769,689,0.013263717118743617,508,0.050892447059789674,439,0.08680933074583448,168,0.0401309086044335,40
14,14,370258,22330,7831,892,0.00391651640437764,5246,0.01893770309874496,950,0.022784922593974355,717,0.08708447975496493,614,0.14456621742290643,233,0.07000741379728202,71
15,15,356906,29743,8751,1338,0.006402509329778367,5848,0.031232197101244218,1080,0.03753536559983461,823,0.14290775324531585,649,0.23253878746734158,291,0.11699297513860323,60
16,16,338913,38161,10328,1910,0.010077206253188397,6813,0.04946799246729465,1326,0.05951052842654387,966,0.22527005730167743,806,0.36163182514806974,331,0.1867883896224995,86
