,day,edges,num_infected,num_new_infections,num_new_removed,0-49 deaths,0-49 cases,50-59 deaths,50-59 cases,60-69 deaths,60-69 cases,70-79 deaths,70-79 cases,80-89 deaths,80-89 cases,90+ deaths,90+ cases
0,0,9999,10,10,0,0.0,9,0.0,1,0.0,0,0.0,0,0.0,0,0.0,0
1,1,9999,10,0,0,3.3204314904706934e-07,0,9.961295800113708e-07,0,0.0,0,0.0,0,0.0,0,0.0,0
2,2,9999,10,0,0,1.1064420048104428e-06,0,3.319326457184416e-06,0,0.0,0,0.0,0,0.0,0,0.0,0
3,3,9998,10,1,1,2.5390357511174525e-06,1,7.617108269371194e-06,0,0.0,0,0.0,0,0.0,0,0.0,0
4,4,9997,10,1,1,4.719453662698791e-06,1,1.4047681812184061e-05,0,0.0,0,0.0,0,0.0,0,0.0,0
5,5,9996,10,1,1,7.642693479417609e-06,0,2.2448588381303934e-05,0,0.0,0,0.0,1,0.0,0,0.0,0
6,6,9995,10,1,1,1.1213035884143267e-05,1,3.242395272536895e-05,0,0.0,0,7.083594120723146e-06,0,0.0,0,0.0,0
7,7,9988,16,7,1,1.532021886938498e-05,4,4.3442782776287117e-05,2,0.0,0,2.3604119231760915e-05,1,0.0,0,0.0,0
8,8,9988,15,0,0,1.9930908018643013e-05,0,5.691831175029964e-05,0,0.0,0,6.124974322073636e-05,0,0.0,0,0.0,0
9,9,9987,14,1,1,2.4910781391067797e-05,1,7.295245647754465e-05,0,0.0,0,0.0001234988300116984,0,0.0,0,0.0,0
10,10,9975,24,12,2,3.01991292075275e-05,9,9.234506291563964e-05,1,0.0,1,0.00021380069049624736,0,0.0,1,0.0,0
11,11,9972,25,3,2,3.5981935838797054e-05,1,0.00011600479915551223,2,1.6602161199973789e-06,0,0.00033046523644729794,0,2.6563549907341742e-05,0,0.0,0
12,12,9966,28,6,2,4.224899790769596e-05,4,0.00014562851319055794,2,5.532211272843088e-06,0,0.00046856125819792527,0,8.851568688801671e-05,0,0.0,0
13,13,9962,29,4,2,4.9198037020281716e-05,3,0.00018352686269444468,0,1.269518162128168e-05,1,0.0006211561191586957,0,0.00020312360934082241,0,0.0,0
14,14,9924,64,38,2,5.6891051391376467e-05,28,0.00023064797558497723,4,2.5073021302346997e-05,4,0.0007804919413154937,1,0.0003746061801479168,1,0.0,0
15,15,9905,78,19,2,6.62903891617352e-05,12,0.00029124398146306973,1,4.958739317667742e-05,2,0.0009460134482384119,3,0.0006251947016991918,1,0.0,0
16,16,9886,91,19,5,7.801439700244146e-05,12,0.0003661540421124754,3,9.218438515188484e-05,1,0.0011344708249345142,3,0.000979721050166462,0,0.0,0
17,17,9597,372,289,4,9.303694832828008e-05,190,0.0004587447615238498,39,0.00015932281497980623,40,0.0013731145743723374,13,0.0014501176222901297,4,0.0,3
18,18,9569,384,28,8,0.00011862505004472086,15,0.0006070302475912902,7,0.0003199401869058683,3,0.0017717413282647516,3,0.002148683932250447,0,0.00017941547265714513,0
19,19,9546,383,23,8,0.00015750235366601004,13,0.0008291145786928189,3,0.0006000101032991264,4,0.0023953385672749387,3,0.0030956744615435842,0,0.0005978524653512556,0
20,20,9419,479,126,11,0.00021415919906032384,77,0.0011512823981781953,15,0.0010463686417861782,15,0.0033275879917933123,14,0.004332063949915881,3,0.001371937053023043,2
21,21,9366,494,53,18,0.0002920083207724774,37,0.0015946130289925054,7,0.001693141540190548,4,0.004687035101304303,3,0.005918931908460221,2,0.002649774585541763,0
22,22,9166,647,199,21,0.0003914096815281713,137,0.002161746494537012,25,0.0025417947546489557,22,0.006506668493515581,8,0.00788091277161671,6,0.00444184157079869,1
23,23,9079,678,87,19,0.0005157233753063157,57,0.00286774020065986,12,0.003613392446215686,10,0.008851582870606995,5,0.010368926441778434,3,0.006814391768507937,0
24,24,8955,735,123,27,0.0006649640149413139,85,0.0037107145883115396,19,0.004899500237131173,7,0.011718559275957182,7,0.013475227888515457,4,0.009710652197503574,1
25,25,8826,787,128,30,0.0008405668520422286,88,0.004696915373826418,11,0.0063882773061188485,13,0.015096451551207013,9,0.017345230418388206,4,0.013105506276693515,3
26,26,8683,843,143,41,0.0010424689073013115,84,0.005817875584599418,18,0.008062574132864169,18,0.018960207335252863,14,0.02207989322642093,6,0.01705934617200929,3
27,27,8567,861,116,35,0.001269844349874629,74,0.007067866163570257,13,0.009905070239507121,15,0.02331335738424656,10,0.027802404834538955,4,0.021687366412828313,0
28,28,8429,891,138,46,0.0015207405226357613,88,0.008430094007057104,17,0.011896414845165027,15,0.02814283448018014,14,0.0345592723410128,4,0.027009260537949595,0
29,29,8230,971,198,41,0.0017928117937237888,134,0.009889782830951311,25,0.014020895697879123,13,0.03347402420981079,14,0.04237149145268121,12,0.03300698792427209,0
30,30,8090,981,139,44,0.00208471193139558,99,0.011437091881921865,15,0.016257967478800567,11,0.03932387454898115,5,0.051407154160712225,6,0.03952590584489521,3
31,31,7839,1093,251,63,0.0023941876241526834,174,0.013055586503195778,32,0.018581224337447896,21,0.045647920939962526,13,0.06169511265969276,9,0.046511960693336254,2
32,32,7567,1213,272,63,0.0027222949995932087,179,0.014748122858711727,34,0.0209760753780273,21,0.05242667932096192,25,0.07339082981628063,10,0.05387253924882577,3
33,33,7408,1206,159,65,0.003070586963675015,111,0.016520583484402843,19,0.023429530988607835,16,0.05968633591346654,9,0.08660798696251278,2,0.06166955065484324,2
34,34,7408,1206,0,0,0.003439531859757242,0,0.01837340938528519,0,0.025930412680871564,0,0.06737508837466849,0,0.10123588158243532,0,0.06994003082724651,0
35,35,7408,1206,0,0,0.0038248861984774745,0,0.020286416442075638,0,0.028442668041779404,0,0.07539485483928253,0,0.11700960272868402,0,0.0786248710228287,0
36,36,7408,1206,0,0,0.004218789319273247,0,0.02222164141764443,0,0.030917007638258196,0,0.08356505136306731,0,0.1334561512772693,0,0.08758659951385969,0
37,37,7408,1206,0,0,0.004609135145537485,0,0.02412116557685403,0,0.0332838534888076,0,0.09162968107010531,0,0.14997221631056312,0,0.0965733454781701,0
38,38,7408,1206,0,0,0.0049821104032278,0,0.025919223045215604,0,0.0354673951898047,0,0.09930494122875538,0,0.16591749128965733,0,0.10527949338618058,0
39,39,7408,1206,0,0,0.0053240574504758,0,0.02755114330979618,0,0.03739537522253539,0,0.10631525430353514,0,0.18068724566358949,0,0.11339039904302582,0
40,40,7408,1206,0,0,0.005622906229152999,0,0.028960196906614406,0,0.03900648019853145,0,0.11242054830941307,0,0.1937639049322424,0,0.1206184059708711,0
41,41,7408,1206,0,0,0.005869094571491114,0,0.030101962133968305,0,0.040254902701677475,0,0.11743340636809042,0,0.20474729681872783,0,0.12672725855336353,0
42,42,7408,1206,0,0,0.006056018254231946,0,0.030946419933793084,0,0.041112323610455796,0,0.12122701720165478,0,0.21336665140064984,0,0.13154534226889228,0
43,43,7408,1206,0,0,0.0061801039909797455,0,0.0314782326728493,0,0.04156785053191149,0,0.1237358193031913,0,0.2194786743676283,0,0.13496968107641116,0
44,44,7408,1206,0,0,0.006240611197011842,0,0.03169572182113388,0,0.04162651282111298,0,0.12495094418867314,0,0.22305605454876343,0,0.1369630865275125,0
45,45,7408,1206,0,0,0.006239260769646352,0,0.03160902120043555,0,0.04130686542082143,0,0.12491239323476727,0,0.224170227862174,0,0.1375467690229212,0
46,46,7408,1206,0,0,0.006179772558987221,0,0.031237801091664193,0,0.04063815629872224,0,0.12369954461950244,0,0.22297145667729418,0,0.13679038069031832,0
47,47,7408,1206,0,0,0.006067374105629539,0,0.03060886522727905,0,0.0396574019349284,0,0.12142120525449034,0,0.219668495428733,0,0.13480103099663515,0
48,48,7408,1206,0,0,0.00590832504754338,0,0.029753834217539608,0,0.03840661141120392,0,0.11820606298109655,0,0.21450940201039895,0,0.13171239317965028,0
49,49,7408,1206,0,0,0.005709485977707997,0,0.02870705309057783,0,0.036930311114424276,0,0.11419408722099439,0,0.20776446330304127,0,0.1276746476157388,0
50,50,7408,1206,0,0,0.005477948023625023,0,0.027503799996867244,0,0.03527345177229033,0,0.10952918165071635,0,0.1997117417246525,0,0.1228457050605611,0
51,51,7408,1206,0,0,0.0052207299791617355,0,0.026178827487137055,0,0.033479727032116775,0,0.1043532088528338,0,0.1906254094473163,0,0.11738392017525234,0
52,52,7408,1206,0,0,0.004944543107426969,0,0.024765235423446063,0,0.03159029596209352,0,0.0988013771620509,0,0.1807668009570026,0,0.11144233749532596,0
53,53,7408,1206,0,0,0.004655619288376807,0,0.02329365325290974,0,0.029642877944920144,0,0.09299889473084921,0,0.17037796327178112,0,0.10516439800831127,0
54,54,7408,1206,0,0,0.004359595526267174,0,0.02179169671076079,0,0.02767117462897084,0,0.08705874559866789,0,0.15967739717280288,0,0.0986809638700644,0
55,55,7408,1206,0,0,0.004061446516561596,0,0.020283657859051177,0,0.02570456732683313,0,0.08108041847278447,0,0.14885764512339714,0,0.09210848118111484,0
56,56,7408,1206,0,0,0.0037654566184138778,0,0.01879038585232688,0,0.023768037308273048,0,0.07514941350128948,0,0.13808437778493762,0,0.0855480871373997,0
57,57,7408,1206,0,0,0.0034752228762461542,0,0.017329317438364165,0,0.0218822590427703,0,0.06933735942512055,0,0.12749664966059912,0,0.07908547079893635,0
58,58,7408,1206,0,0,0.003193681438682594,0,0.01591461976770346,0,0.020063821220740543,0,0.06370258836821632,0,0.11720802652832071,0,0.07279131027528529,0
59,59,7408,1206,0,0,0.0029231506518263804,0,0.014557412711451924,0,0.018325536287864787,0,0.05829103458533874,0,0.10730832637460853,0,0.06672212880929297,0
60,60,7408,1206,0,0,0.0026653851240139477,0,0.013266042931464127,0,0.016676805522706267,0,0.05313734416023277,0,0.09786575682347147,0,0.060921434758288553,0
61,61,7408,1206,0,0,0.00242163607927454,0,0.012046386969453565,0,0.015124012869366916,0,0.04826610316453948,0,0.08892927239710931,0,0.055421033519272356,0
62,62,7408,1206,0,0,0.002192714277396654,0,0.010902165336788564,0,0.013670926483047085,0,0.04369311101130791,0,0.08053101234264479,0,0.05024242149463613,0
63,63,7408,1206,0,0,0.001979052644646503,0,0.009835253827364943,0,0.0123190920733858,0,0.03942664300101193,0,0.07268871307978687,0,0.045398192314374426,0
64,64,7408,1206,0,0,0.0017807665133977536,0,0.008845981960481211,0,0.011068206554377472,0,0.035468661042393046,0,0.06540801806364026,0,0.0408934032242732,0
65,65,7408,1206,0,0,0.001597710006253366,0,0.007933411567612627,0,0.009916464215734718,0,0.03181594415602742,0,0.05868463194501271,0,0.03672686463324083,0
66,66,7408,1206,0,0,0.0014295276240195174,0,0.007095591084957482,0,0.008860870649638116,0,0.02846112071629146,0,0.05250628556200865,0,0.03289232831426183,0
67,67,7408,1206,0,0,0.0012757005156611646,0,0.006329783146001747,0,0.007897522057478379,0,0.025393592637432214,0,0.046854493897703,0,0.029379559834938604,0
68,68,7408,1206,0,0,0.0011355872335389043,0,0.005632664642144896,0,0.007021849396757838,0,0.022600348095832775,0,0.04170610116528975,0,0.026175288695999065,0
69,69,7408,1206,0,0,0.0010084590214377365,0,0.005000499597348144,0,0.006228828187544285,0,0.02006666415945628,0,0.03703461614224778,0,0.023264035657502728,0
70,70,7408,1206,0,0,0.0008935298588968086,0,0.004429286047749748,0,0.005513155758768791,0,0.01777670412330879,0,0.03281134726979812,0,0.020628821119682162,0
71,71,7408,1206,0,0,0.0007899816052538034,0,0.0039148786888985035,0,0.0048693983504706165,0,0.015714016669239238,0,0.029006351332569208,0,0.018251761475392723,0
72,72,7408,1206,0,0,0.0006969846616857187,0,0.0034530894059933634,0,0.004292110865012615,0,0.013861945400099553,0,0.025589212159474514,0,0.01611456231957669,0
73,73,7408,1206,0,0,0.0006137146091276882,0,0.003039767984166668,0,0.0037759322363312264,0,0.012203958036567732,0,0.022529667111307633,0,0.014198918515785069,0
74,74,7408,1206,0,0,0.0005393652926892852,0,0.002670865347543743,0,0.0033156594110201284,0,0.01072390477661481,0,0.019798099460389542,0,0.012486831578176014,0
75,75,7408,1206,0,0,0.0004731588161302786,0,0.002342481632076729,0,0.0029063028498740712,0,0.009406215142622616,0,0.017365914387546977,0,0.010960854796720737,0
76,76,7408,1206,0,0,0.00041435288891775553,0,0.002050901286334319,0,0.0025431262972629176,0,0.008236042194403994,0,0.015205815438296067,0,0.009604276152040906,0
77,77,7408,1206,0,0,0.00036224593804728343,0,0.0017926172393345212,0,0.0022216733554294094,0,0.007199362360193783,0,0.013291997066861133,0,0.00840124844662865,0
78,78,7408,1206,0,0,0.0003161803608617072,0,0.0015643459930616817,0,0.0019377831626589978,0,0.006283038404674834,0,0.01160026748952368,0,0.007336875310233852,0
79,79,7408,1206,0,0,0.0002755442563826848,0,0.0013630353032839633,0,0.0016875972243947635,0,0.005474852269021048,0,0.010108114571796849,0,0.00639726088802914,0
80,80,7408,1206,0,0,0.0002397719333077667,0,0.001185865915959178,0,0.0014675591967024712,0,0.0047635137243874776,0,0.008794725964414274,0,0.0055695301429680676,0
81,81,7408,1206,0,0,0.000208343454359149,0,0.0010302486353016762,0,0.0012744091805502325,0,0.004138650007266898,0,0.007640973236648844,0,0.004841825836778186,0
82,82,7408,1206,0,0,0.00018078344016358994,0,0.0008938178185806113,0,0.0011051738589124328,0,0.0035907808733096755,0,0.006629368370046886,0,0.004203287424129656,0
83,83,7408,1206,0,0,0.00015665932198569548,0,0.0007744222252053391,0,0.0009571536003417922,0,0.003111282828825132,0,0.005743999695441481,0,0.0036440163195417966,0
84,84,7408,1206,0,0,0.00013557920182678053,0,0.000670113995487653,0,0.0008279074643075535,0,0.002692345683785795,0,0.004970453194640158,0,0.0031550312872785377,0
85,85,7408,1206,0,0,0.00011718945081584894,0,0.0005791363984419379,0,0.0007152368759566808,0,0.002326924019943709,0,0.004295724050930809,0,0.0027282170662291574,0
86,86,7408,1206,0,0,0.00010117215247268739,0,0.0004999108680999387,0,0.000617168590791301,0,0.0020086856826738468,0,0.0037081224191377357,0,0.0023562687759232,0
87,87,7408,1206,0,0,8.724247621449712e-05,0,0.0004310237435240746,0,0.0005319374422063047,0,0.0017319589831642358,0,0.003197176591853177,0,0.002032634154864971,0
88,88,7408,1206,0,0,7.51460482278184e-05,0,0.00037121303807818347,0,0.00045796925561220465,0,0.0014916799348450589,0,0.002753536056363464,0,0.0017514552547851685,0
89,89,7408,1206,0,0,6.465637130845638e-05,0,0.0003193554873987202,0,0.00039386422044423243,0,0.001283340539815588,0,0.0023688763576882733,0,0.0015075108493864166,0
90,90,7408,1206,0,0,5.557233222897405e-05,0,0.0002744540616234323,0,0.0003383809340684077,0,0.0011029388823248407,0,0.002035807197170808,0,0.0012961605081898316,0
91,91,7408,1206,0,0,4.7715824360982166e-05,0,0.00023562607445223538,0,0.00029042126774563915,0,0.0009469315717309583,0,0.0017477847930214199,0,0.0011132910292830952,0
92,92,7408,1206,0,0,4.092950439519507e-05,0,0.0002020919782290232,0,0.000249016152750372,0,0.0008121889015307263,0,0.0014990291991086972,0,0.0009552657132547377,0
93,93,7408,1206,0,0,3.5074694813534836e-05,0,0.00017316489918851405,0,0.00021331234288596559,0,0.0006959529489418969,0,0.0012844470115394601,0,0.0008188767886339357,0
94,94,7408,1206,0,0,3.0029438038199205e-05,0,0.00014824093913910915,0,0.00018256017653397167,0,0.0005957987264151032,0,0.0010995596802438597,0,0.000701301161376796,0
95,95,7408,1206,0,0,2.5686703695397015e-05,0,0.00012679024807594487,0,0.0001561023356836101,0,0.0005095984080030665,0,0.0009404374767165938,0,0.0006000595523396074,0
96,96,7408,1206,0,0,2.195274699045693e-05,0,0.00010834885557097497,0,0.00013336357991456402,0,0.0004354885858215057,0,0.0008036390419018842,0,0.0005129790027643409,0
