,day,edges,num_infected,num_new_infections,num_new_removed,0-49 deaths,50-59 deaths,60-69 deaths,70-79 deaths,80-89 deaths,90+ deaths
0,0,49975,10,10,0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,49975,10,0,0,2.457119302948313e-07,1.2451619750142134e-06,1.5273988303975886e-06,5.454367472956822e-06,8.500335970349358e-06,4.784412604190537e-06
2,2,49975,10,0,0,8.187670835597278e-07,4.14915807148052e-06,5.08963437101564e-06,1.8175171808455905e-05,2.8325019804165348e-05,1.594273240936682e-05
3,3,49969,14,6,1,1.8788864558269149e-06,9.521385336713993e-06,1.1679567091579144e-05,4.170793480701018e-05,6.499955498906318e-05,3.658498808061448e-05
4,4,49962,20,7,1,3.612521542985689e-06,1.8306699450238604e-05,2.2456220066000202e-05,8.019154778432597e-05,0.000124974179229543,7.034169477416764e-05
5,5,49948,33,14,1,6.200576330127409e-06,3.142184370202818e-05,3.8544131833824926e-05,0.0001376417571912436,0.0002145072156351358,0.000120735348550274
6,6,49933,46,15,2,1.0042372806512669e-05,5.089040952379585e-05,6.242557478051222e-05,0.00022292280037613236,0.00034741309749359585,0.00019554140075253075
7,7,49791,183,140,3,1.5625003951187027e-05,7.91807738277908e-05,9.712842486469529e-05,0.00034684727442381403,0.0005405426711017128,0.00030424434725202565
8,8,49725,239,63,7,2.659493989268767e-05,0.0001347716728383045,0.0001653199339480335,0.0005903603252876683,0.0009200445575753453,0.000517846917231846
9,9,49303,628,401,12,4.571245562364405e-05,0.00023165098845134735,0.0002841585720741226,0.0010147351443758172,0.0015814097034865637,0.0008900961731562444
10,10,48819,1011,410,27,8.531431679662964e-05,0.00043233612251555485,0.0005303323592590025,0.0018938259691123325,0.002951425089461463,0.0016612090919228988
11,11,48121,1517,554,48,0.00015982688882553936,0.0008099336662716861,0.0009935187223725514,0.003547872432029997,0.005529166819383123,0.003112090570726169
12,12,47080,2221,782,78,0.0002917120884569988,0.0014782709157133602,0.0018133458240608292,0.006475489101562878,0.010091698663233046,0.005680110815676453
13,13,45485,3112,1014,123,0.0005105853042078412,0.0025874258732077617,0.0031739093642278006,0.01133408488590428,0.017663556759665324,0.009941929812017119
14,14,43140,4190,1261,183,0.0008535592290792904,0.0043254696432391175,0.005305909919011368,0.018947495507222092,0.029528644413237853,0.016620192308651686
15,15,40199,5186,1256,260,0.0013656659259013572,0.006920605277344644,0.008489276590813758,0.030315352601006842,0.047244833327753,0.02659174611975867
16,16,36683,5959,1125,352,0.0020926050352786016,0.010604418822991934,0.013008088290761657,0.046452106841022064,0.07239308987467208,0.04074643788914197
17,17,33061,6432,913,440,0.0030738687951400636,0.015577039890975437,0.019107837364099454,0.06823441561112359,0.1063396370542988,0.05985324599196095
18,18,28976,6606,710,536,0.004333372267938107,0.021959659692320357,0.026937185043412765,0.0961931507277404,0.14991180980862417,0.08437783575463993
19,19,24211,6537,562,631,0.005873475446641288,0.029764237652449052,0.03651080155857442,0.13038069983386838,0.20319125143879485,0.11436616009485374
20,20,19732,6198,359,697,0.007673164124349926,0.03888428284381412,0.04769805802639674,0.17033058494267928,0.265450981294814,0.14940903808175685
21,21,15552,5638,191,750,0.009687756980249236,0.04909336962397637,0.0602212056331724,0.21505096026708223,0.3351452614954607,0.18863645142107413
22,22,11886,4960,96,762,0.011853316569133193,0.06006749062603845,0.07368279530547174,0.26312252833537025,0.4100621938855055,0.2308034336256009
23,23,8349,4229,64,775,0.014092774197927652,0.07141609498840876,0.08760375127550252,0.3128345013474452,0.4875356084375512,0.27440933136487017
24,24,5646,3452,33,757,0.016323634982182,0.08272113425439319,0.1014712673890317,0.36235563971354523,0.564711617540915,0.3178478344997153
25,25,3461,2685,10,705,0.018464989265814313,0.0935725932202375,0.11478239161634261,0.409889893091907,0.6387911741199567,0.3595434998764623
26,26,1834,1965,4,600,0.020443741794406747,0.10360005669590236,0.12708274794902794,0.4538146769476816,0.7072455681537811,0.3980730435051003
27,27,794,1284,0,516,0.02219898624077751,0.11249487771193231,0.13799372940292667,0.49277797923375766,0.7679677621731701,0.4322505197170819
28,28,230,699,1,338,0.02368437919483555,0.1200222078750539,0.14722725525568744,0.525751058739714,0.8193545187801151,0.4611735466252329
29,29,27,239,0,140,0.024869133357293925,0.126026030445097,0.1545919449550287,0.5520504922243203,0.8603407599084232,0.4842426452275333
30,30,0,9,0,23,0.025737505178069588,0.13042656390762075,0.15998993316753213,0.5713268009000441,0.8903818418164939,0.5011512628899227
31,31,0,0,0,0,0.026287421497899612,0.1332133023865806,0.16340833268405977,0.5835339643215758,0.9094060441355442,0.5118590318154601
32,32,0,0,0,0,0.026528435542677302,0.1344346575061365,0.16490652843573175,0.5888840470985244,0.9177438580614898,0.5165519689155748
33,33,0,0,0,0,0.0264794080887935,0.13418620753777472,0.16460176311306454,0.5877957248936367,0.9160477669140917,0.5155973243119056
34,34,0,0,0,0,0.026166133706073316,0.13259866822439592,0.16265438137549001,0.5808415912413987,0.9052101266707785,0.5094973604092248
35,35,0,0,0,0,0.025619090290437577,0.12982648838349772,0.15925384045663374,0.5686982011790663,0.8862853116742435,0.49884553162066525
36,36,0,0,0,0,0.02487142476668684,0.12603764231856945,0.15460618885447017,0.5521013574340191,0.8604200305798229,0.4842872627109727
37,37,0,0,0,0,0.023957237053516156,0.12140493369469647,0.1489233990844119,0.5318080175017176,0.8287939606018944,0.46648653479254504
38,38,0,0,0,0,0.022910185526545314,0.11609892862729788,0.14241469893402717,0.5085653374073206,0.7925715038948068,0.4460987314129319
39,39,0,0,0,0,0.021762409402138937,0.1102824947885944,0.13527987276635592,0.4830867505447018,0.7528645077204947,0.42374965560774147
40,40,0,0,0,0,0.020543745040505434,0.1041068299700802,0.12770438988942462,0.4560345710002669,0.7107051526718968,0.4000202700419654
41,41,0,0,0,0,0.019281202250251872,0.09770880822011574,0.11985614915139334,0.42800836844627543,0.6670278355745133,0.37543649980430965
42,42,0,0,0,0,0.01799866145794057,0.0912094452299898,0.1118835964806178,0.3995382458440513,0.6226586931513404,0.3504633358038486
43,43,0,0,0,0,0.016716751491584424,0.08471327899344136,0.10391496516125939,0.37108212645512917,0.5783113739768437,0.32550245501506225
44,44,0,0,0,0,0.015452869395140942,0.07830847021796052,0.09605839900449258,0.34302619368775394,0.534587723953876,0.3008926062983998
45,45,0,0,0,0,0.014221307096842307,0.07206744422519526,0.08840273974640944,0.31568770290832876,0.4919821683693647,0.27691207683955077
46,46,0,0,0,0,0.013033454105161648,0.06604791812659319,0.08101878705025713,0.2893194809310596,0.450888724104959,0.25378263897097386
47,47,0,0,0,0,0.011898050126548458,0.060294180981015355,0.07396086883325534,0.26411553368200785,0.41160973887740876,0.2316744690518053
48,48,0,0,0,0,0.010821466190263468,0.05483851841402198,0.06726858879974848,0.24021728667001008,0.37436561667413243,0.21071162142755498
49,49,0,0,0,0,0.009807997268837665,0.04970269549201789,0.060968645433658555,0.21772008063998693,0.33930494087670626,0.1909777262283809
50,50,0,0,0,0,0.008860153345143236,0.04489943172449781,0.05507664133474001,0.19667963274380507,0.30651454364532543,0.17252165692035976
51,51,0,0,0,0,0.007978939323914339,0.040433819534780396,0.04959882320950716,0.17711825007778198,0.27602918938010856,0.15536298063997706
52,52,0,0,0,0,0.00716411709674764,0.03630465229228241,0.04453371092430791,0.15903064705920858,0.24784064078698817,0.13949706102771742
53,53,0,0,0,0,0.0064144454618426765,0.03250564012217602,0.03987358889864094,0.14238927121751632,0.2219059588344802,0.12489972985727042
54,54,0,0,0,0,0.005727895512634239,0.029026501401982308,0.03560584500776749,0.12714908443851305,0.19815495406358669,0.11153148100399804
55,55,0,0,0,0,0.00510184059535339,0.0258539253844751,0.03171415140024899,0.11325177968410421,0.1764967581168494,0.09934116922890483
56,56,0,0,0,0,0.004533221052153067,0.022972407044712647,0.028179488577067164,0.10062943799642977,0.1568255229810153,0.08826921799636875
57,57,0,0,0,0,0.0040186847718427865,0.020364959330477276,0.024981019085577507,0.08920764847398743,0.13902528330065791,0.07825035622650695
58,58,0,0,0,0,0.0035547051196925935,0.01801371077960504,0.022096820596834477,0.07890812610335925,0.12297403612698567,0.0692159145810741
59,59,0,0,0,0,0.0031376781615368105,0.015900398209766232,0.019504490271778196,0.06965086996125133,0.10854710435870131,0.061095718575557886
60,60,0,0,0,0,0.002764001280024864,0.014006765111681554,0.01718163345695804,0.06135590835532081,0.09561985644936039,0.05381961936598695
61,61,0,0,0,0,0.0024301353406271445,0.012314876679599247,0.015106250121953588,0.053944678798847776,0.08406985702307447,0.047318704222600594
62,62,0,0,0,0,0.002132652534120818,0.01080736225635685,0.013257032258677887,0.04734109002875805,0.07377852197201692,0.04152622810118865
63,63,0,0,0,0,0.0018682719272704415,0.009467595488881353,0.011613584872144686,0.04147231116745092,0.06463234832234321,0.03637830587290811
64,64,0,0,0,0,0.001633884615656848,0.008279821791866067,0.010156582335926487,0.036269330070827,0.05652378438931866,0.03181440209094346
65,65,0,0,0,0,0.0014265702089546952,0.00722924188803963,0.008867870868227358,0.031667319272105324,0.04935180008091564,0.027777651985786165
66,66,0,0,0,0,0.0012436062024031834,0.006302059298733397,0.007730526786984287,0.027605844011791437,0.04302221110123977,0.024215043943075807
67,67,0,0,0,0,0.0010824716084934418,0.00548549874770513,0.006728879085226329,0.024028942854672948,0.03744780458774609,0.02107749021848522
68,68,0,0,0,0,0.0009408460470694922,0.004767801550163509,0.005848503774944161,0.020885107491680443,0.032548307633534716,0.018319809220500076
