,day,edges,num_infected,num_new_infections,num_new_removed,0-49 deaths,50-59 deaths,60-69 deaths,70-79 deaths,80-89 deaths,90+ deaths
0,0,69951,10,10,0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,69951,10,0,0,2.457119302948313e-07,1.2451619750142134e-06,1.5273988303975886e-06,5.454367472956822e-06,8.500335970349358e-06,4.784412604190537e-06
2,2,69951,10,0,0,8.187670835597278e-07,4.14915807148052e-06,5.08963437101564e-06,1.8175171808455905e-05,2.8325019804165348e-05,1.594273240936682e-05
3,3,69944,16,7,1,1.8788864558269149e-06,9.521385336713993e-06,1.1679567091579144e-05,4.170793480701018e-05,6.499955498906318e-05,3.658498808061448e-05
4,4,69922,37,22,1,3.6370927360151723e-06,1.843121564774003e-05,2.260895994903996e-05,8.073698453162165e-05,0.00012582421282657794,7.08201360345867e-05
5,5,69906,51,16,2,6.651020933925629e-06,3.370450247169755e-05,4.134419351652287e-05,0.00014764082558152444,0.00023009022157107636,0.00012950624069749648
6,6,69679,272,224,3,1.1507554463493919e-05,5.831531755969088e-05,7.153346281227312e-05,0.00025544722506410864,0.00039810064989282003,0.00022407088069548053
7,7,69521,409,147,10,2.40889758332822e-05,0.00012207252895147795,0.0001497423160083529,0.0005347323839108731,0.0008333514270911754,0.00046905170400356823
8,8,69055,804,414,19,5.000632093154945e-05,0.0002534104439276082,0.00031085017325649074,0.001110051310915206,0.0017299547809877971,0.0009737047438723208
9,9,67976,1649,882,37,0.00010397759445961769,0.000526913555720367,0.000646347354703581,0.0023081175116581813,0.0035970759955975926,0.002024613590756817
10,10,66203,2800,1224,73,0.00021378339139114467,0.0010833619252041417,0.0013289240843025242,0.00474561074369935,0.0073957770366498525,0.004162711802846096
11,11,64090,3881,1210,129,0.0004223432092587234,0.0021402530351026087,0.0026253772988315822,0.00937526745339901,0.014610845998348464,0.00822371209752457
12,12,60105,5371,1701,211,0.0007816116215305577,0.0039608702320284685,0.004858667933292654,0.017350386689998634,0.027039636916966783,0.015219254877634519
13,13,55676,6376,1316,311,0.001359557988569295,0.006889652888087321,0.00845130832315195,0.030179767264670573,0.04703353093252103,0.02647281460380802
14,14,50120,7043,1093,426,0.002213219129448009,0.011215638976324837,0.013757851748086523,0.04912952503243174,0.07656570095614908,0.04309499130164706
15,15,43594,7335,832,540,0.003387478508231516,0.017166278513894708,0.021057303588236164,0.07519599300069862,0.1171888779586518,0.06595973932466537
16,16,37399,7135,438,638,0.004899979470777449,0.02483098035997438,0.03045933872098642,0.10877082204146812,0.16951342858869367,0.09541060343359181
17,17,30653,6685,265,715,0.0067336409153213195,0.03412318486569793,0.041857777300589954,0.14947484210078837,0.23294843687582245,0.13111498667850446
18,18,24577,6021,111,775,0.008840413482746374,0.04479939862468417,0.054953934054303925,0.1962414429365422,0.30583164858939366,0.17213728955837126
