,day,edges,num_infected,num_new_infections,num_new_removed,All deaths,All cases,perc_above_left
0,0,9999,1,1,0,0.0,1,1.0
1,1,9999,2,1,0,3.0621769960759476e-06,1,1.0
2,2,9999,3,1,0,1.3266035333000714e-05,1,1.0
3,3,9999,4,1,0,3.668159711043743e-05,1,1.0
4,4,9999,5,1,0,7.986522397650589e-05,1,1.0
5,5,9999,6,1,0,0.00014887386734479334,1,1.0
6,6,9999,7,1,0,0.0002485475284324858,1,1.0
7,7,9998,8,2,1,0.0003820938990377562,2,1.0
8,8,9996,8,1,1,0.0005540028788014838,1,1.0
9,9,9995,8,1,1,0.0007649981629950239,1,1.0
10,10,9990,9,2,1,0.0010152543882141036,2,1.0
11,11,9987,9,1,1,0.0013052626475738647,1,1.0
12,12,9986,10,2,1,0.0016315568118100302,2,1.0
13,13,9744,65,56,1,0.0019933760879364626,56,0.9945054945054945
14,14,9744,63,1,0,0.002554092236045552,1,0.9945054945054945
15,15,9736,61,2,3,0.003364378357584059,2,0.9945054945054945
16,16,9734,57,1,2,0.004529466060444862,1,0.9945054945054945
17,17,9733,52,1,1,0.0060689030902609815,1,0.9945054945054945
18,18,9703,57,11,5,0.00794881668130443,11,0.9945054945054945
19,19,9696,51,1,2,0.010125426330512588,1,0.9945054945054945
20,20,9673,53,9,6,0.012511559129558873,9,0.9945054945054945
21,21,9627,58,13,5,0.015046594355404034,13,0.9945054945054945
22,22,9616,54,4,4,0.017679352584671532,4,0.9945054945054945
23,23,9604,51,6,6,0.020353329651916562,6,0.9945054945054945
24,24,9572,57,15,3,0.02303038483950181,15,0.989010989010989
25,25,9530,56,9,10,0.025696463484468218,9,0.989010989010989
26,26,9526,49,3,3,0.028333176567528536,3,0.989010989010989
27,27,9503,46,7,7,0.030920708195443316,7,0.989010989010989
28,28,9474,44,8,7,0.03344371276510621,8,0.989010989010989
29,29,9466,35,2,5,0.035880830628159145,2,0.989010989010989
30,30,9438,36,12,5,0.03819655825661089,12,0.989010989010989
31,31,9280,58,32,6,0.040385170853530064,32,0.9835164835164835
32,32,9229,57,10,9,0.04250507285287667,10,0.9835164835164835
33,33,9210,51,6,5,0.04458858580285152,6,0.9835164835164835
34,34,9201,40,1,4,0.04668416661683114,1,0.9835164835164835
35,35,9165,40,12,7,0.048791410394820794,12,0.9835164835164835
36,36,9146,31,3,6,0.050909059446700974,3,0.9835164835164835
37,37,9081,42,23,6,0.052989613099468806,23,0.978021978021978
38,38,9045,40,10,6,0.05504637630705216,10,0.978021978021978
39,39,9026,34,6,6,0.0570605253379319,6,0.978021978021978
40,40,9015,23,1,5,0.05902737219069731,1,0.978021978021978
41,41,8967,21,9,5,0.06091362111154931,9,0.978021978021978
42,42,8910,30,20,6,0.06269284586074571,20,0.9725274725274725
