,day,edges,num_infected,num_new_infections,num_new_removed,All deaths,All cases,perc_above_left
0,0,29991,1,1,0,0.0,1,1.0
1,1,29991,2,1,0,3.0621769960759476e-06,1,1.0
2,2,29991,3,1,0,1.3266035333000714e-05,1,1.0
3,3,29991,4,1,0,3.668159711043743e-05,1,1.0
4,4,29991,5,1,0,7.986522397650589e-05,1,1.0
5,5,29991,6,1,0,0.00014887386734479334,1,1.0
6,6,29991,7,1,0,0.0002485475284324858,1,1.0
7,7,29988,8,2,1,0.0003820938990377562,2,1.0
8,8,29976,8,1,1,0.0005540028788014838,1,1.0
9,9,29965,11,4,1,0.0007649981629950239,4,1.0
10,10,29959,13,3,1,0.0010244409192023316,3,1.0
11,11,29955,15,3,1,0.0013389363995807149,3,1.0
12,12,29953,15,1,1,0.001718131709471417,1,1.0
13,13,29929,20,7,2,0.002163688069989879,7,1.0
14,14,29916,20,2,2,0.00269088238542671,2,1.0
15,15,29906,19,1,2,0.0032984327946568863,1,1.0
16,16,29879,25,8,2,0.003984391647465321,8,1.0
17,17,29868,24,2,3,0.0047579777739519945,2,1.0
18,18,29855,22,1,3,0.005609477098150101,1,1.0
19,19,29846,24,5,3,0.006529867377654526,5,1.0
20,20,29824,28,7,3,0.007511802038616463,7,1.0
21,21,29708,61,37,4,0.008551149178490732,37,0.9919354838709677
22,22,29695,58,2,5,0.009742741370791163,2,0.9919354838709677
23,23,29616,76,24,6,0.011111137502112074,24,0.9919354838709677
24,24,29532,91,22,7,0.012774359296692761,22,0.9919354838709677
25,25,29498,91,9,9,0.01481039730497129,9,0.9919354838709677
26,26,29341,123,42,10,0.01726370055012961,42,0.9919354838709677
27,27,28866,228,117,12,0.020249487617052232,117,0.9758064516129032
28,28,28713,250,38,16,0.024096876382513868,38,0.9758064516129032
29,29,28578,265,36,21,0.02900186069394577,36,0.9758064516129032
30,30,27927,392,152,25,0.03521884802115302,152,0.967741935483871
31,31,27625,432,72,32,0.04320953777874007,72,0.967741935483871
32,32,27360,445,52,39,0.05318950744251458,52,0.967741935483871
33,33,26979,502,102,45,0.06536363408033474,102,0.967741935483871
34,34,26402,582,132,52,0.07989472582099363,132,0.9596774193548387
35,35,25913,631,110,61,0.09690701969810815,110,0.9596774193548387
36,36,25126,745,183,69,0.11645592795030417,183,0.9435483870967742
37,37,24486,815,150,80,0.13879882044663377,150,0.9354838709677419
38,38,23732,907,183,90,0.16407363952224036,183,0.9354838709677419
39,39,22759,1000,196,103,0.1925427251143535,196,0.9354838709677419
40,40,22145,1023,140,117,0.22442974197657384,140,0.9354838709677419
41,41,21406,1036,142,129,0.25974545171378055,142,0.9354838709677419
42,42,20668,1050,155,138,0.29836952626828295,155,0.9354838709677419
