,day,edges,num_infected,num_new_infections,num_new_removed,All deaths,All cases,perc_above_left
0,0,19996,1,1,0,0.0,1,1.0
1,1,19996,2,1,0,3.0621769960759476e-06,1,1.0
2,2,19996,3,1,0,1.3266035333000714e-05,1,1.0
3,3,19996,4,1,0,3.668159711043743e-05,1,1.0
4,4,19996,5,1,0,7.986522397650589e-05,1,1.0
5,5,19996,6,1,0,0.00014887386734479334,1,1.0
6,6,19996,7,1,0,0.0002485475284324858,1,1.0
7,7,19994,7,1,1,0.0003820938990377562,1,1.0
8,8,19992,8,2,1,0.0005509407018054078,2,1.0
9,9,19990,9,2,1,0.000757856481654175,2,1.0
10,10,19983,11,3,1,0.0010051048617696677,3,1.0
11,11,19981,11,1,1,0.0012987606178182334,1,1.0
12,12,19979,13,3,1,0.0016393512154221723,3,1.0
13,13,19978,13,1,1,0.0020323724358566387,1,1.0
14,14,19969,13,2,2,0.0024741959203150774,2,1.0
15,15,19961,14,3,2,0.002963025760120308,3,1.0
16,16,19926,25,13,2,0.0034962730564928354,13,1.0
17,17,19912,26,3,2,0.004102380054509823,3,1.0
18,18,19836,45,22,3,0.0047907517099389256,22,0.9927007299270073
19,19,19816,52,11,4,0.005638940692002268,11,0.9927007299270073
20,20,19802,51,3,4,0.0066946063385835445,3,0.9927007299270073
21,21,19643,89,43,5,0.007996673417085766,43,0.9854014598540146
22,22,19616,89,7,7,0.009677326321930416,7,0.9854014598540146
23,23,19496,109,28,8,0.011763012279864062,28,0.9781021897810219
24,24,19473,103,4,10,0.014363364404672434,4,0.9781021897810219
25,25,19453,96,4,11,0.017469778383216974,4,0.9781021897810219
26,26,19083,177,93,12,0.02104886970241331,93,0.9708029197080292
27,27,18948,198,36,15,0.02527404793431856,36,0.9708029197080292
28,28,18868,203,24,18,0.030198558793145036,24,0.9708029197080292
29,29,18778,204,22,21,0.03594246811373564,22,0.9708029197080292
30,30,18693,201,21,23,0.042539153948288014,21,0.9708029197080292
