,day,edges,num_infected,num_new_infections,num_new_removed,0-19 deaths,0-19 cases,20-49 deaths,20-49 cases,50-69 deaths,50-69 cases,70+ deaths,70+ cases,perc_above_left
0,0,29991,1,1,0,0.0,1,0.0,0,0.0,0,0.0,0,1.0
1,1,29991,2,1,0,1.1068104928488164e-08,0,0.0,1,0.0,0,0.0,0,1.0
2,2,29991,3,1,0,3.688140002790061e-08,0,7.378736683345172e-08,0,0.0,1,0.0,0,1.0
3,3,29991,4,1,0,8.463452473331121e-08,0,2.4587600233039196e-07,0,1.844684625093316e-06,0,0.0,1,1.0
4,4,29991,5,1,0,1.5608533208851518e-07,0,5.642301698096297e-07,1,6.146901571945755e-06,0,1.992264403298285e-05,0,1.0
5,5,29991,6,1,0,2.494287256261138e-07,0,1.1143562564987914e-06,1,1.4105757718809844e-05,0,6.63867038613514e-05,0,1.0
6,6,29991,7,1,0,3.6026609204459813e-07,1,1.9825215545070866e-06,0,2.6014228647685728e-05,0,0.00015234256632519648,0,1.0
7,7,29987,11,5,1,4.937656252129231e-07,0,3.211880140050888e-06,4,4.157146487063171e-05,1,0.0002809543756642142,0,1.0
8,8,29985,13,3,1,6.471707896572141e-07,2,5.11793202343706e-06,0,6.188904860890141e-05,0,0.00044897294924076825,1,1.0
9,9,29975,23,11,1,8.435906732532918e-07,2,7.755527050676175e-06,4,8.659650879851844e-05,3,0.0006684034052231245,2,1.0
10,10,29973,25,3,1,1.1087714066061689e-06,1,1.1528835267087235e-05,1,0.00012135473580022987,0,0.0009750899341282577,1,1.0
11,11,29932,65,42,2,1.4692319472543252e-06,6,1.6551238213204033e-05,22,0.00016725828778559775,10,0.0014035625610005285,4,0.9928571428571429
12,12,29885,109,47,3,2.0052151435134666e-06,14,2.4502152793582816e-05,18,0.000245133464788451,11,0.0020579963500966495,4,0.9857142857142858
13,13,29857,132,29,6,2.89272339482658e-06,10,3.71199039711454e-05,11,0.00038079818208999793,6,0.003050682644853254,2,0.9857142857142858
14,14,29697,281,157,8,4.3188348661922664e-06,30,5.6425951045850114e-05,78,0.0006016088671608711,27,0.004480414097981257,22,0.9785714285714285
15,15,29584,378,111,14,6.734752532848927e-06,33,8.91912676514579e-05,47,0.0009735284744178488,23,0.006827451797002693,8,0.9714285714285714
16,16,29359,565,209,22,1.0667678588860645e-05,57,0.00014086320461158096,80,0.0015587591444947949,45,0.010377627787598502,27,0.95
17,17,28940,907,375,33,1.701695361996075e-05,71,0.0002211138070834396,191,0.002473723526658545,80,0.015921293313574805,33,0.9285714285714286
18,18,28233,1447,592,52,2.6921375212235497e-05,145,0.00034729649771761433,261,0.0039055838260905365,118,0.024342819481612557,68,0.9142857142857143
19,19,27091,2263,898,82,4.2468980190243554e-05,203,0.0005445498549871297,417,0.006144545253464233,190,0.037376007613559664,88,0.8785714285714286
20,20,26051,2841,707,129,6.665240218567868e-05,152,0.0008549676521282212,295,0.00966538104922164,185,0.05739420116540699,75,0.8214285714285714
21,21,24911,3383,725,182,0.00010244502869525121,158,0.0013177346711415472,333,0.015005192841240316,154,0.08694534344479471,80,0.8
22,22,24911,3384,1,0,0.0001529294385653207,0,0.001976041671953345,0,0.022690590746911793,1,0.1287064308226419,0,0.8
23,23,24911,3385,1,0,0.0002186875840245773,0,0.0028385163186183528,1,0.03288474716820535,0,0.18326720849318204,0,0.8
24,24,24911,3386,1,0,0.00029886054496218337,0,0.0038952293854603807,1,0.045493987071896974,0,0.25005118513956287,0,0.8
25,25,24911,3387,1,0,0.0003905102238226334,1,0.005107974106666689,0,0.060071352741192,0,0.32667761932773826,0,0.8
26,26,24911,3388,1,0,0.0004895281118371998,0,0.00642233704806455,1,0.0759616369728577,0,0.40972882435464847,0,0.8
27,27,24911,3389,1,0,0.0005912926972032428,1,0.007776856386637009,0,0.09241427791393182,0,0.49532418131648903,0,0.8
28,28,24911,3390,1,0,0.0006912558282094868,0,0.009110467125390199,1,0.10867862194256962,0,0.5796043022922005,0,0.8
29,29,24911,3391,1,0,0.0007853232454065004,0,0.010368198641374289,0,0.12407365138535571,0,0.6590840747124751,1,0.8
30,30,24911,3392,1,0,0.0008701200520939057,0,0.01150445645964408,0,0.1380319705789267,0,0.7308938289030877,1,0.8
31,31,24911,3393,1,0,0.0009431029851455721,0,0.012484789669150302,0,0.15012162328626658,0,0.7928740287706211,1,0.8
32,32,24911,3394,1,0,0.001002581629065614,0,0.013286140194968958,1,0.1600506928480086,0,0.8436018539487149,0,0.8
33,33,24911,3395,1,0,0.0010476669946270013,0,0.01389626540971156,0,0.16765970326008345,0,0.8823197686113586,1,0.8
34,34,24911,3396,1,0,0.0010781750406953395,0,0.014312341617982092,0,0.17290625690071657,1,0.9088813722799733,0,0.8
35,35,24911,3397,1,0,0.0010945063370429962,0,0.014539436727373274,0,0.17584734914749117,1,0.9236053634905799,0,0.8
36,36,24911,3398,1,0,0.001097517919621048,0,0.014588740418182354,1,0.17661715710815826,0,0.9271934792325834,0,0.8
37,37,24911,3399,1,0,0.0010883986625090164,1,0.014475983270854318,0,0.17540527126005534,0,0.9206138497643771,0,0.8
38,38,24911,3400,1,0,0.001068566571689917,1,0.014219795457268525,0,0.17243822773904863,0,0.9050125658110159,0,0.8
