,day,edges,num_infected,num_new_infections,num_new_removed,0-19 deaths,0-19 cases,20-49 deaths,20-49 cases,50-69 deaths,50-69 cases,70+ deaths,70+ cases,perc_above_left
0,0,39984,1,1,0,0.0,0,0.0,1,0.0,0,0.0,0,1.0
1,1,39984,2,1,0,0.0,0,7.378736683345172e-08,1,0.0,0,0.0,0,1.0
2,2,39984,3,1,0,0.0,0,3.196633691638437e-07,1,0.0,0,0.0,0,1.0
3,3,39984,4,1,0,0.0,0,8.838935389734732e-07,1,0.0,0,0.0,0,1.0
4,4,39984,5,1,0,0.0,0,1.9244624286388132e-06,0,0.0,1,0.0,0,1.0
5,5,39984,6,1,0,0.0,0,3.5135332471486042e-06,0,1.844684625093316e-06,0,0.0,1,1.0
6,6,39984,7,1,0,0.0,0,5.669431212729078e-06,1,6.146901571945755e-06,0,1.992264403298285e-05,0,1.0
7,7,39979,12,6,1,0.0,1,8.396971906381185e-06,2,1.4105757718809844e-05,1,6.63867038613514e-05,2,1.0
8,8,39972,19,8,1,1.1068104928488164e-08,3,1.1744662352225712e-05,3,2.7858913272779043e-05,0,0.00019218785439116217,2,1.0
9,9,39967,24,6,1,7.00857148133651e-08,1,1.5877830673116742e-05,5,4.771836644257746e-05,0,0.0004535730714528827,0,1.0
10,10,39943,47,25,2,2.0634682974550123e-07,6,2.1186220314526646e-05,12,7.415012170261794e-05,5,0.000886431489613864,2,1.0
11,11,39762,225,181,3,5.132789358872784e-07,41,2.8682179472542206e-05,85,0.00011568725899972499,36,0.0015549199332349287,19,0.9921259842519685
12,12,39702,276,59,8,1.477399948860389e-06,13,4.502298346704297e-05,29,0.00024042954343985996,13,0.002840016236360283,4,0.9921259842519685
13,13,39530,428,166,14,3.4284675146255927e-06,47,7.482854657937045e-05,72,0.0004986458637161924,29,0.004939154445929467,18,0.9921259842519685
14,14,39263,651,246,23,7.219111160642845e-06,56,0.000127995572644244,113,0.0009945314834156132,46,0.008441528888117182,31,0.9763779527559056
15,15,38464,1294,679,36,1.3768207510752733e-05,171,0.00021643123583223525,304,0.0018535255541288805,145,0.014134996692551883,59,0.9291338582677166
16,16,37619,1892,663,65,2.5403496254723865e-05,161,0.00036728945746724255,292,0.0033937898619896337,147,0.023514732775363176,63,0.889763779527559
17,17,36370,2667,879,104,4.4751432890381045e-05,201,0.0006120771900747127,393,0.006002505859614939,183,0.038451883699027536,102,0.84251968503937
18,18,35006,3349,839,157,7.550770519157096e-05,174,0.0009969002634968465,371,0.010234728653711465,217,0.06190266150219056,77,0.8267716535433071
19,19,33075,4207,1078,220,0.00012108824543836334,254,0.0015672797361518918,501,0.016729385975576206,221,0.09652032247978844,102,0.7795275590551181
20,20,30692,4914,1004,297,0.00018545252137933192,229,0.0023763232201568485,447,0.02612763946525145,229,0.14543919130173266,99,0.7322834645669292
21,21,28115,5500,967,381,0.00027165419427244175,207,0.003466928127113482,424,0.039024077969338336,221,0.21115672583112877,115,0.7007874015748031
22,22,28115,5501,1,0,0.00038194554426616715,0,0.004872711237044416,1,0.05586906294472505,0,0.295958117525261,0,0.7007874015748031
23,23,28115,5502,1,0,0.0005151161354564725,0,0.006580687232295388,1,0.0765323213499252,0,0.3991224674327353,0,0.7007874015748031
24,24,28115,5503,1,0,0.0006678902513068204,0,0.008550809131411404,0,0.10054755186494636,1,0.5184899422924513,0,0.7007874015748031
25,25,28115,5504,1,0,0.00083435709246864,0,0.010707352398462511,1,0.12699339119742256,0,0.6496031436294308,0,0.7007874015748031
