,day,edges,num_infected,num_new_infections,num_new_removed,0-19 deaths,0-19 cases,20-49 deaths,20-49 cases,50-69 deaths,50-69 cases,70+ deaths,70+ cases,perc_above_left
0,0,19996,1,1,0,0.0,0,0.0,1,0.0,0,0.0,0,1.0
1,1,19996,2,1,0,0.0,0,7.378736683345172e-08,1,0.0,0,0.0,0,1.0
2,2,19996,3,1,0,0.0,0,3.196633691638437e-07,0,0.0,1,0.0,0,1.0
3,3,19996,4,1,0,0.0,1,8.101061721400216e-07,0,1.844684625093316e-06,0,0.0,0,1.0
4,4,19996,5,1,0,1.1068104928488164e-08,0,1.6047990594749694e-06,0,6.146901571945755e-06,1,0.0,0,1.0
5,5,19996,6,1,0,3.688140002790061e-08,0,2.7034270750085824e-06,0,1.595044234390316e-05,1,0.0,0,1.0
6,6,19996,7,1,0,8.463452473331121e-08,0,4.064632153254109e-06,0,3.40058148447248e-05,1,0.0,0,1.0
7,7,19994,9,3,1,1.5608533208851518e-07,1,5.619757464539151e-06,1,6.366880878648062e-05,0,0.0,1,1.0
8,8,19991,12,4,1,2.6049683055460194e-07,3,7.360366829807759e-06,0,0.00010631125192224942,1,1.992264403298285e-05,0,1.0
9,9,19989,14,3,1,4.3035180685796324e-07,1,9.226604935937215e-06,1,0.00016398574308879328,1,6.63867038613514e-05,0,1.0
10,10,19978,25,12,1,6.890443500299362e-07,4,1.1262064317752382e-05,5,0.0002373365679053047,3,0.00015234256632519648,0,1.0
11,11,19972,30,7,2,1.1014321156596153e-06,4,1.380531737734218e-05,1,0.00033065550366912275,1,0.0002809543756642142,1,1.0
12,12,19960,41,13,2,1.73093720511353e-06,0,1.7036406354122332e-05,8,0.00044541215163440356,0,0.0004688955932737511,5,1.0
13,13,19947,52,14,3,2.607488364661178e-06,4,2.1755273261038205e-05,6,0.0005819683396691289,2,0.0008144806852164073,2,1.0
14,14,19941,55,7,4,3.7857796362229006e-06,0,2.863340916406774e-05,4,0.0007414730639975064,2,0.00139297931589886,1,1.0
15,15,19931,61,11,5,5.24844918172372e-06,0,3.8366589185738736e-05,7,0.0009234445299315447,1,0.0022938872019655286,3,1.0
16,16,19793,191,136,6,6.96582436266481e-06,24,5.1712952718101956e-05,67,0.0011263779900614215,23,0.0036108641579612917,22,0.9932432432432432
