,day,edges,num_infected,num_new_infections,num_new_removed,0-19 deaths,0-19 cases,20-49 deaths,20-49 cases,50-69 deaths,50-69 cases,70+ deaths,70+ cases,perc_above_left
0,0,39984,1,1,0,0.0,1,0.0,0,0.0,0,0.0,0,1.0
1,1,39984,2,1,0,1.1068104928488164e-08,0,0.0,0,0.0,1,0.0,0,1.0
2,2,39984,3,1,0,3.688140002790061e-08,0,0.0,1,1.844684625093316e-06,0,0.0,0,1.0
3,3,39984,4,1,0,8.463452473331121e-08,0,7.378736683345172e-08,0,6.146901571945755e-06,1,0.0,0,1.0
4,4,39984,5,1,0,1.5608533208851518e-07,0,2.4587600233039196e-07,1,1.595044234390316e-05,0,0.0,0,1.0
5,5,39984,6,1,0,2.494287256261138e-07,0,6.380175366430813e-07,0,3.2161130219631484e-05,1,0.0,0,1.0
6,6,39984,7,1,0,3.6026609204459813e-07,0,1.2864448919957317e-06,1,5.7521907214534866e-05,0,0.0,0,1.0
7,7,39973,18,12,1,4.826975202844349e-07,2,2.3008757219863243e-06,4,9.220549420343958e-05,5,0.0,1,1.0
8,8,39947,44,27,1,6.324255994862897e-07,12,3.983368327240405e-06,8,0.0001453502529414808,5,1.992264403298285e-05,2,1.0
9,9,39926,64,22,2,9.433999978606634e-07,4,7.018874795770338e-06,11,0.00022773144782282928,3,0.0001062319919273171,4,1.0
10,10,39865,123,62,3,1.5129053341202582e-06,16,1.2546528556971853e-05,25,0.00035162177684833706,14,0.0003648065501798307,7,1.0
11,11,39764,216,99,6,2.6181035071214777e-06,23,2.3018411762841325e-05,43,0.0005494233900000263,18,0.0009906448319908928,15,0.9926470588235294
12,12,39665,300,95,11,4.6153076572756785e-06,23,4.268455630680523e-05,52,0.0008637102332232329,16,0.002383798553394185,4,0.9926470588235294
13,13,39440,493,210,17,7.933130594899881e-06,47,7.7439722862715e-05,96,0.0013449776883840488,48,0.004812133260657113,19,0.9852941176470589
14,14,38990,862,396,27,1.3296978273229218e-05,81,0.00013737146321256293,197,0.002105623260382636,83,0.008857607438143823,35,0.9485294117647058
15,15,38335,1360,543,45,2.185169616525958e-05,115,0.0002411714893334829,252,0.0033342729088316737,115,0.015355299331551546,61,0.9411764705882353
16,16,37452,1941,655,74,3.5321881464244805e-05,150,0.0004152183641027482,291,0.00532584154316023,146,0.02582986096736917,68,0.9044117647058824
17,17,36104,2746,918,113,5.610857415685277e-05,204,0.0006938689269500193,429,0.008488284742581299,199,0.04226843638064662,86,0.875
18,18,34415,3567,988,167,8.746794045031064e-05,242,0.0011239671995676886,429,0.013369831497692032,220,0.06732871967103099,97,0.8235294117647058
19,19,32307,4434,1102,235,0.00013329295145448128,268,0.00175374128125082,472,0.02058816985054712,247,0.10396552533203259,115,0.7867647058823529
20,20,29667,5244,1125,315,0.00019789013599763453,250,0.002634444428635603,510,0.0308173991738622,255,0.1554317931203031,110,0.7426470588235294
21,21,26846,5774,936,406,0.00028517298611627695,211,0.0038132653291510876,421,0.04469265734766119,223,0.22462875606760027,81,0.7058823529411765
22,22,26846,5775,1,0,0.0003979248039861074,0,0.00532144008146336,0,0.06268600532559268,1,0.3133871072148178,0,0.7058823529411765
23,23,26846,5776,1,0,0.0005352489691530573,0,0.007144652939170435,0,0.08467835341390675,1,0.42086750316096816,0,0.7058823529411765
24,24,26846,5777,1,0,0.0006938759960735438,0,0.009238987692463506,1,0.11017895134715433,0,0.5443444744172236,0,0.7058823529411765
25,25,26846,5778,1,0,0.0008676567083529703,0,0.011523871217708074,1,0.13821496063156774,0,0.6789766378359636,0,0.7058823529411765
26,26,26846,5779,1,0,0.0010489881319906283,1,0.01390043271469406,0,0.16756608393110864,0,0.8188759974576509,0,0.7058823529411765
27,27,26846,5780,1,0,0.0012298872525505153,1,0.01626508901423906,0,0.1969370610373484,0,0.9579116274444478,0,0.7058823529411765
28,28,26846,5781,1,0,0.0014028308391325905,0,0.018520431447439447,0,0.22509797241812624,0,1.090344183273064,1,0.7058823529411765
29,29,26846,5782,1,0,0.001561329749408468,1,0.02058263581052501,0,0.2509815509056964,0,1.2112770246375926,0,0.7058823529411765
30,30,26846,5783,1,0,0.0017002735587690668,0,0.022385712527779808,1,0.2737396245059011,0,1.3168644127661135,0,0.7058823529411765
31,31,26846,5784,1,0,0.0018160303175836674,0,0.023883165511704187,1,0.29276557337791614,0,1.4044171841780433,0,0.7058823529411765
32,32,26846,5785,1,0,0.0019064316374636206,0,0.025047544091336624,1,0.3076912380721945,0,1.4723574396787336,0,0.7058823529411765
33,33,26846,5786,1,0,0.001970633121331631,1,0.025868726994296935,0,0.3183664257678477,0,1.5201154691185512,0,0.7058823529411765
34,34,26846,5787,1,0,0.002008935203295661,0,0.026351281025810736,1,0.32482800064000517,0,1.547979941599737,0,0.7058823529411765
35,35,26846,5788,1,0,0.0020225451591720663,1,0.02651166928751253,0,0.3272640814983782,0,1.5569283660340323,0,0.7058823529411765
