,day,edges,num_infected,num_new_infections,num_new_removed,0-19 deaths,0-19 cases,20-49 deaths,20-49 cases,50-69 deaths,50-69 cases,70+ deaths,70+ cases,perc_above_left
0,0,19996,1,1,0,0.0,0,0.0,1,0.0,0,0.0,0,1.0
1,1,19996,2,1,0,0.0,1,7.378736683345172e-08,0,0.0,0,0.0,0,1.0
2,2,19996,3,1,0,1.1068104928488164e-08,1,2.4587600233039196e-07,0,0.0,0,0.0,0,1.0
3,3,19996,4,1,0,4.7949504956388775e-08,0,5.642301698096297e-07,0,0.0,1,0.0,0,1.0
4,4,19996,5,1,0,1.215159247612118e-07,1,1.0405688896653397e-06,0,1.844684625093316e-06,0,0.0,0,1.0
5,5,19996,6,1,0,2.5178796175031456e-07,0,1.662858185343243e-06,0,6.146901571945755e-06,1,0.0,0,1.0
6,6,19996,7,1,0,4.423954577425296e-07,0,2.4017739679108663e-06,0,1.595044234390316e-05,1,0.0,0,1.0
7,7,19994,9,3,1,6.943293424040232e-07,0,3.217983496628284e-06,2,3.40058148447248e-05,1,0.0,0,1.0
8,8,19991,12,4,1,9.990489444175482e-07,2,4.216170700012927e-06,2,6.366880878648062e-05,0,0.0,0,1.0
9,9,19990,13,2,1,1.3645518453968387e-06,1,5.551459705588488e-06,0,0.00010631125192224942,0,0.0,1,1.0
10,10,19988,15,3,1,1.7922063253212052e-06,1,7.3321261581285464e-06,1,0.00016214105846369995,1,1.992264403298285e-05,0,1.0
11,11,19986,17,3,1,2.293523077975326e-06,0,9.721407323114078e-06,1,0.00023118966633335893,2,6.63867038613514e-05,0,1.0
12,12,19977,24,9,2,2.866466310349731e-06,4,1.2794646302334369e-05,4,0.0003147050613252196,1,0.00015234256632519648,0,1.0
13,13,19970,30,8,2,3.5465922418546967e-06,2,1.682199578024453e-05,1,0.0004132510214147721,4,0.0002809543756642142,1,1.0
14,14,19953,45,18,3,4.350835789817004e-06,3,2.1889890174761848e-05,11,0.0005336698555800605,3,0.0004688955932737511,1,1.0
15,15,19919,77,35,3,5.322662415462386e-06,11,2.885987150294762e-05,14,0.0006818467622788889,4,0.000734790109084476,6,0.9928571428571429
16,16,19591,396,324,5,6.5883322999601e-06,97,3.89225876409669e-05,135,0.0008676827595317121,65,0.0012071230765853857,27,0.9857142857142858
17,17,19481,486,105,15,9.253012927252958e-06,25,6.265579795586661e-05,50,0.0012131349933308896,22,0.0024680524969677023,8,0.9785714285714285
18,18,19340,593,132,25,1.3990010300970583e-05,28,0.00010752371578841157,59,0.001797603279636466,27,0.004922084441165272,18,0.9714285714285714
19,19,18950,925,368,36,2.1862134158534798e-05,88,0.00018524843988939848,160,0.002754449891651123,88,0.009328351465062527,32,0.95
20,20,18634,1154,284,55,3.42131342066948e-05,66,0.0003122208349360872,116,0.0042961482969157885,76,0.016586441044764033,26,0.9214285714285714
21,21,18169,1471,394,76,5.205596834087236e-05,88,0.000501562877792082,177,0.006622389141291201,86,0.027521100588124965,43,0.8857142857142857
22,22,17608,1827,459,100,7.669660405959309e-05,101,0.0007717144663492237,208,0.00998378790053465,110,0.04330220831175248,40,0.8571428571428571
23,23,17007,2173,482,134,0.00010935650516301267,104,0.0011410798676079427,228,0.014652226663884436,94,0.06494799144579397,56,0.8071428571428572
24,24,16264,2561,561,171,0.00015115150366325786,111,0.0016289237401681692,249,0.02084596043881762,137,0.09374823712819531,64,0.7928571428571428
25,25,15395,2967,621,199,0.00020305633079888456,153,0.002254216732538551,285,0.02881971460102461,128,0.1310060419226815,55,0.7357142857142858
26,26,14468,3326,621,251,0.0002662016136258628,137,0.003035427089155545,268,0.038753901474252034,142,0.1777851135390886,74,0.7
27,27,13318,3725,712,298,0.00034133943841395766,156,0.003986069183120088,320,0.05081611043698448,155,0.23527414384358053,81,0.6357142857142857
28,28,12158,4024,667,341,0.0004292662737352247,156,0.005118614227816064,307,0.06512881458164667,146,0.3044476466771666,58,0.6
29,29,10936,4235,635,382,0.0005304007829892521,137,0.006438725080433035,307,0.0817391087138424,133,0.3856374011542485,58,0.5571428571428572
30,30,9722,4347,591,438,0.0006446176513548006,146,0.00794709515348967,254,0.10060235473196616,139,0.4787313754936782,52,0.5428571428571428
31,31,8439,4361,545,469,0.0007713974074301394,135,0.009633909473750316,247,0.12159291473320455,102,0.5827880583213295,61,0.5357142857142857
32,32,7154,4146,364,496,0.0009095603097746617,68,0.011481238493051547,112,0.14442902577596115,123,0.696474746541675,61,0.5214285714285715
33,33,5760,3877,348,520,0.0010567749986519649,63,0.01345292009261068,119,0.16878469705455354,116,0.8180657165625927,50,0.5142857142857142
34,34,4552,3518,287,504,0.0012100450205200187,46,0.015504602110405141,108,0.19424733959923474,95,0.9454970855568381,38,0.5142857142857142
35,35,3522,3078,224,465,0.001365484535697991,46,0.017582235200671297,100,0.22035253625864323,55,1.0763652840362874,23,0.5071428571428571
36,36,2593,2622,216,449,0.0015189274766776654,46,0.019629496336262903,99,0.24655204409065304,49,1.2078029938661643,22,0.5
37,37,1738,2121,169,418,0.0016662487823993627,32,0.02159270291024479,88,0.27226391184098403,34,1.3367506761289794,15,0.4928571428571429
38,38,1042,1604,142,389,0.0018035821568531617,33,0.023423776901162378,72,0.2968634469542233,27,1.459964017550985,10,0.4928571428571429
39,39,557,1079,114,282,0.0019276710495900896,25,0.025082205323383164,58,0.3197433620651582,17,1.5743010478615638,14,0.4857142857142857
40,40,235,564,95,229,0.002035849353020558,32,0.02653578026239705,49,0.3403375398156822,11,1.6770280240673288,3,0.4857142857142857
41,41,43,68,68,129,0.0021262901620754423,23,0.027760787528855364,40,0.35815790812632947,3,1.7657057655947435,2,0.4857142857142857
42,42,33,7,7,10,0.002197833180632038,3,0.02874163612052787,4,0.37280801696983895,0,1.8384826788637652,0,0.4857142857142857
43,43,31,2,2,2,0.002249846314753668,1,0.02946832761480856,1,0.3840030044154697,0,1.8940118739244123,0,0.4857142857142857
44,44,31,1,1,0,0.0022822173826899986,0,0.029937376208018857,1,0.3915773813912701,0,1.9315409184469992,0,0.4857142857142857
45,45,31,1,1,0,0.0022952161842669182,0,0.03015053076235369,1,0.395486472963383,0,1.950900033524237,0,0.4857142857142857
46,46,30,1,1,1,0.0022895048918151204,1,0.03011503600813032,0,0.3958011366089926,0,1.9524769853297599,0,0.4857142857142857
47,47,29,1,1,1,0.00226612262380703,1,0.029843346425101093,0,0.392694611404772,0,1.9371533262407956,0,0.4857142857142857
48,48,29,1,1,0,0.002226438270479313,0,0.029352604011591146,1,0.3864246137457663,0,1.9062179924383504,0,0.4857142857142857
49,49,29,1,1,0,0.0021720843828670388,0,0.028663848448590226,1,0.377313072577401,0,1.861269439050302,0,0.4857142857142857
50,50,29,1,1,0,0.0021048891339347183,0,0.027801000769418,1,0.3657255334527766,0,1.8041159969259801,0,0.4857142857142857
51,51,28,2,2,1,0.00202679480865569,0,0.026789851893270062,2,0.35205175237176595,0,1.7366818063223393,0,0.4857142857142857
52,52,28,1,1,0,0.00193978803853781,0,0.025657093294211977,1,0.33668848929048767,0,1.6609232654986175,0,0.4857142857142857
53,53,27,2,2,1,0.0018458358145497212,0,0.024429255632141423,2,0.3200250660092364,0,1.5787587927078817,0,0.4857142857142857
54,54,27,1,1,0,0.001746831130159744,0,0.02313205702209934,1,0.3024318998291676,0,1.4920129846123527,0,0.4857142857142857
55,55,27,1,1,0,0.0016445494796562294,0,0.021789583710667887,1,0.28425196526411656,0,1.402374986091706,0,0.4857142857142857
56,56,27,1,1,0,0.0015406164635326253,0,0.020423904023703313,1,0.2657949615749847,0,1.3113700257938439,0,0.4857142857142857
57,57,27,1,1,0,0.0014364859951192588,0,0.01905470027554157,1,0.24733385931563162,0,1.22034255108997,0,0.4857142857142857
58,58,27,1,1,0,0.001333428079773602,0,0.017699113322210983,1,0.22910344877238858,0,1.1304491409399493,0,0.4857142857142857
59,59,27,1,1,0,0.0012325248280204845,0,0.016371698899456895,1,0.21130050257756855,0,1.04265931538772,0,0.4857142857142857
60,60,27,1,1,0,0.0011346732281801578,1,0.015084479467124422,0,0.19408518139904385,0,0.9577624353460311,0,0.4857142857142857
61,61,27,1,1,0,0.0010406042674938225,0,0.013846993976495178,1,0.17758334536331258,0,0.876379046670075,0,0.4857142857142857
62,62,27,1,1,0,0.0009508764139636774,0,0.01266659535615786,1,0.16188947699015677,0,0.7989752300982603,0,0.4857142857142857
63,63,27,1,1,0,0.0008659011054084446,0,0.011548585308032284,1,0.147069968196115,0,0.7258787452956535,0,0.4857142857142857
64,64,27,1,1,0,0.0007859499411781465,1,0.010496499876544276,0,0.1331665703802953,0,0.6572959832371928,0,0.4857142857142857
65,65,26,2,2,1,0.0007111844465792234,1,0.009512255537954276,1,0.12019985013855773,0,0.5933289535497052,0,0.4857142857142857
66,66,26,1,1,0,0.0006416664419629881,0,0.008596495445769993,1,0.10817253222088695,0,0.5339917244551284,0,0.4857142857142857
67,67,26,1,1,0,0.0005773678027553421,1,0.007748729478955718,0,0.09707264519653407,0,0.4792258987607733,0,0.4857142857142857
68,68,26,1,1,0,0.0005181997040322102,0,0.006967519307395476,1,0.08687641372304436,0,0.4289148488230436,0,0.4857142857142857
69,69,26,1,1,0,0.00046400185393139377,0,0.006250771994533672,1,0.07755086450354587,0,0.382896547329986,0,0.4857142857142857
70,70,26,1,1,0,0.00041456939638836126,0,0.005595826050223983,1,0.0690561313707185,0,0.3409749210400451,0,0.4857142857142857
71,71,26,1,1,0,0.00036965750040376987,1,0.0049996504411421875,0,0.06134745899455407,0,0.30292972387154804,0,0.4857142857142857
72,72,26,1,1,0,0.0003290062111786014,0,0.004458879691409391,1,0.05437691506797194,0,0.2685249768371306,0,0.4857142857142857
73,73,26,1,1,0,0.0002923329797021041,0,0.003970035048326569,1,0.04809482807632004,0,0.23751605816488724,0,0.4857142857142857
74,74,26,1,1,0,0.0002593528007296256,1,0.0035295332652880125,0,0.042450972469937225,0,0.20965555030836017,0,0.4857142857142857
75,75,26,1,1,0,0.00022978769602045824,0,0.00313374015205382,1,0.03739552574871006,0,0.18469796394329768,0,0.4857142857142857
76,76,26,1,1,0,0.00020335575154461087,1,0.0027791367479217694,0,0.03287982308829702,0,0.1624034647082572,0,0.4857142857142857
77,77,26,1,1,0,0.00017979815260166598,1,0.0024622112833001643,0,0.028856935079295612,0,0.14254072828308853,0,0.4857142857142857
78,78,26,1,1,0,0.0001588667340496272,0,0.002179596284783045,1,0.02528209323971153,0,0.12488904502005765,0,0.4857142857142857
79,79,26,1,1,0,0.00014032103403631584,0,0.001928126921940252,1,0.022112986465174216,0,0.10923978806380294,0,0.4857142857142857
80,80,26,1,1,0,0.00012393290886738434,0,0.0017048360408409534,1,0.019309949714689426,0,0.095397349774414,0,0.4857142857142857
81,81,26,1,1,0,0.00010948137414745777,0,0.0015070037134785076,1,0.016836064159920467,0,0.08317964112962294,0,0.4857142857142857
